#>P	ENSDARG00000039900	ENSDART00000152277	ENSDARP00000126848	23	45364192	45406427	-1	si:ch73-168d20.1 [Source:ZFIN;Acc:ZDB-GENE-121214-44]
#>E	ENSDARE00001126616,ENSDARE00001106808,ENSDARE00001125527,ENSDARE00001120156,ENSDARE00001116259,ENSDARE00001116445,ENSDARE00000801902,ENSDARE00000768525,ENSDARE00000822266,ENSDARE00000894162,ENSDARE00001121490,ENSDARE00001111971,ENSDARE00001115322,ENSDARE00001120928,ENSDARE00001126219,ENSDARE00001109545	0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0	45364189-45364306,45369049-45369222,45374981-45375154,45375807-45375980,45376432-45376605,45378023-45378196,45378279-45378452,45379498-45379671,45380315-45380488,45385170-45385343,45385441-45385614,45387144-45388872,45390432-45390627,45398216-45398276,45398471-45398572,45406378-45406427
23	45388637	45388846	-1	NATCH-assoc	90.9	45388637-45388846	PF14484	http://pfam.xfam.org/family/PF14484
23	45376473	45376541	-1	Leu-rich_rpt	175.2	45376473-45376541	PF13516	http://pfam.xfam.org/family/PF13516
23	45378091	45378132	-1	Leu-rich_rpt	175.2	45378091-45378132	PF13516	http://pfam.xfam.org/family/PF13516
23	45385488	45385550	-1	Leu-rich_rpt	175.2	45385488-45385550	PF13516	http://pfam.xfam.org/family/PF13516
23	45379539	45379604	-1	Leu-rich_rpt	175.2	45379539-45379604	PF13516	http://pfam.xfam.org/family/PF13516
23	45380356	45380424	-1	Leu-rich_rpt	175.2	45380356-45380424	PF13516	http://pfam.xfam.org/family/PF13516
23	45369090	45369158	-1	Leu-rich_rpt	175.2	45369090-45369158	PF13516	http://pfam.xfam.org/family/PF13516
23	45375938	45376451	-1	Leu-rich_rpt	175.2	45375938-45375980,45376432-45376451	PF13516	http://pfam.xfam.org/family/PF13516
23	45385232	45385279	-1	Leu-rich_rpt	175.2	45385232-45385279	PF13516	http://pfam.xfam.org/family/PF13516
23	45378326	45378388	-1	Leu-rich_rpt	175.2	45378326-45378388	PF13516	http://pfam.xfam.org/family/PF13516
23	45369177	45375000	-1	Leu-rich_rpt	175.2	45369177-45369222,45374981-45375000	PF13516	http://pfam.xfam.org/family/PF13516
23	45375848	45375916	-1	Leu-rich_rpt	175.2	45375848-45375916	PF13516	http://pfam.xfam.org/family/PF13516
