#>P	ENSDARG00000103324	ENSDART00000169994	ENSDARP00000135186	4	68767330	69052421	1	si:ch211-127b6.2 [Source:ZFIN;Acc:ZDB-GENE-081103-37]
#>E	ENSDARE00001170927,ENSDARE00001173117,ENSDARE00001162045,ENSDARE00001169344,ENSDARE00001197210,ENSDARE00001150534,ENSDARE00001151983,ENSDARE00001187845,ENSDARE00001177288,ENSDARE00001180878,ENSDARE00001218109,ENSDARE00001166442,ENSDARE00001179936,ENSDARE00001186690,ENSDARE00001181174	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	68767330-68767400,68770292-68770414,68771173-68773068,68775201-68775374,68775912-68776085,68784540-68784713,68866143-68866316,68866622-68866795,68867306-68867479,68908968-68909141,68947686-68947859,69005259-69005432,69013981-69014154,69051590-69051636,69051898-69052424
4	69051909	69052049	1	PRY	62.4	69051909-69052049	PF13765	http://pfam.xfam.org/family/PF13765
4	68947747	68947818	1	Leu-rich_rpt	159	68947747-68947818	PF13516	http://pfam.xfam.org/family/PF13516
4	69005320	69005391	1	Leu-rich_rpt	159	69005320-69005391	PF13516	http://pfam.xfam.org/family/PF13516
4	68866204	68866275	1	Leu-rich_rpt	159	68866204-68866275	PF13516	http://pfam.xfam.org/family/PF13516
4	68784601	68784672	1	Leu-rich_rpt	159	68784601-68784672	PF13516	http://pfam.xfam.org/family/PF13516
4	69014045	69014113	1	Leu-rich_rpt	159	69014045-69014113	PF13516	http://pfam.xfam.org/family/PF13516
4	68867367	68867438	1	Leu-rich_rpt	159	68867367-68867438	PF13516	http://pfam.xfam.org/family/PF13516
4	68866683	68866754	1	Leu-rich_rpt	159	68866683-68866754	PF13516	http://pfam.xfam.org/family/PF13516
4	68775973	68776044	1	Leu-rich_rpt	159	68775973-68776044	PF13516	http://pfam.xfam.org/family/PF13516
4	68775262	68775333	1	Leu-rich_rpt	159	68775262-68775333	PF13516	http://pfam.xfam.org/family/PF13516
4	68909029	68909100	1	Leu-rich_rpt	159	68909029-68909100	PF13516	http://pfam.xfam.org/family/PF13516
4	69052059	69052328	1	SPRY_dom	26.5	69052059-69052328	PF00622	http://pfam.xfam.org/family/PF00622
4	68771258	68771473	1	NATCH-assoc	108.4	68771258-68771473	PF14484	http://pfam.xfam.org/family/PF14484
