#>P	ENSDARG00000027867	ENSDART00000088185	ENSDARP00000082618	17	51034544	51106408	-1	papilin a, proteoglycan-like sulfated glycoprotein [Source:ZFIN;Acc:ZDB-GENE-070815-4]
#>E	ENSDARE00000825981,ENSDARE00000788506,ENSDARE00000808040,ENSDARE00000841692,ENSDARE00000832383,ENSDARE00000795554,ENSDARE00000809856,ENSDARE00000859582,ENSDARE00000219803,ENSDARE00000816161,ENSDARE00000376510,ENSDARE00000805898,ENSDARE00000376512,ENSDARE00000376513,ENSDARE00000967442,ENSDARE00000966191,ENSDARE00000972186,ENSDARE00000861195,ENSDARE00000857306,ENSDARE00000843100,ENSDARE00000879317,ENSDARE00000860675,ENSDARE00000848504,ENSDARE00000536406,ENSDARE00000219908,ENSDARE00000219918,ENSDARE00001228685	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1	51034541-51034713,51039396-51039571,51040024-51040132,51041828-51041955,51044080-51044220,51044353-51044425,51047296-51047423,51049058-51049216,51057623-51057959,51061039-51061159,51063517-51063604,51063768-51063933,51064380-51064460,51066780-51066930,51068973-51069149,51069394-51069598,51080927-51080998,51081865-51081991,51085314-51085437,51087234-51087406,51087488-51087568,51090111-51090234,51091439-51091569,51092433-51092535,51093997-51094057,51101549-51101652,51106358-51106408
17	51057787	51057942	-1	Kunitz_BPTI	62.9	51057787-51057942	PF00014	http://pfam.xfam.org/family/PF00014
17	51039424	51040124	-1	Ig_I-set	110	51039424-51039571,51040024-51040124	PF07679	http://pfam.xfam.org/family/PF07679
17	51041832	51044195	-1	Ig_I-set	110	51041832-51041955,51044080-51044195	PF07679	http://pfam.xfam.org/family/PF07679
17	51034583	51034681	-1	PLAC	43.6	51034583-51034681	PF08686	http://pfam.xfam.org/family/PF08686
17	51092530	51101628	-1	TSP1_rpt	104	51092530-51092535,51093997-51094057,51101549-51101628	PF00090	http://pfam.xfam.org/family/PF00090
17	51066793	51068987	-1	TSP1_rpt	104	51066793-51066930,51068973-51068987	PF00090	http://pfam.xfam.org/family/PF00090
17	51081957	51085350	-1	TSP1_rpt	104	51081957-51081991,51085314-51085350	PF00090	http://pfam.xfam.org/family/PF00090
17	51069012	51069405	-1	TSP1_rpt	104	51069012-51069149,51069394-51069405	PF00090	http://pfam.xfam.org/family/PF00090
17	51069424	51069588	-1	TSP1_rpt	104	51069424-51069588	PF00090	http://pfam.xfam.org/family/PF00090
17	51085387	51090147	-1	ADAM_spacer1	109.8	51085387-51085437,51087234-51087406,51087488-51087568,51090111-51090147	PF05986	http://pfam.xfam.org/family/PF05986
17	51047336	51049158	-1	Ig-like_dom	81.4	51047336-51047423,51049058-51049158	PF13895	http://pfam.xfam.org/family/PF13895
