#>P	ENSG00000173157	ENST00000389420	ENSP00000374071	12	43354212	43551921	-1	ADAM metallopeptidase with thrombospondin type 1 motif 20 [Source:HGNC Symbol;Acc:HGNC:17178]
#>E	ENSE00001522072,ENSE00001312903,ENSE00001292061,ENSE00001301522,ENSE00001322356,ENSE00001313964,ENSE00001215605,ENSE00001215612,ENSE00001215623,ENSE00001215629,ENSE00001215646,ENSE00001182374,ENSE00001182378,ENSE00001182387,ENSE00001182395,ENSE00001317665,ENSE00001182404,ENSE00001182411,ENSE00001182418,ENSE00001182424,ENSE00001182432,ENSE00001671990,ENSE00001674296,ENSE00001765638,ENSE00001707132,ENSE00001617800,ENSE00001623637,ENSE00001789433,ENSE00001741222,ENSE00001787036,ENSE00001777776,ENSE00001720838,ENSE00001608485,ENSE00001614273,ENSE00001759316,ENSE00001728974,ENSE00001768016,ENSE00001730776,ENSE00001688581	0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	43354209-43354298,43356484-43356588,43369290-43369381,43375379-43375512,43376057-43376148,43376236-43376330,43376524-43376653,43377365-43377562,43383558-43383728,43383804-43383977,43399066-43399233,43425514-43425690,43427308-43427469,43428241-43428531,43428635-43428799,43429617-43429724,43430352-43430471,43431332-43431496,43432304-43432468,43432601-43432811,43434245-43434371,43439622-43439751,43439897-43440069,43443791-43443883,43446595-43446712,43452274-43452410,43452514-43452695,43453907-43454052,43462895-43462999,43464591-43464732,43466652-43466795,43468600-43468705,43490395-43490435,43492505-43492629,43493170-43493253,43502152-43502405,43532036-43532195,43550909-43551270,43551831-43551921
12	43464699	43502244	-1	Peptidase_M12B	87.5	43464699-43464732,43466652-43466795,43468600-43468705,43490395-43490435,43492505-43492629,43493170-43493253,43502152-43502244	PF01421	http://pfam.sanger.ac.uk/family?acc=PF01421
12	43439695	43446631	-1	ADAM_spacer1	101.3	43439695-43439751,43439897-43440069,43443791-43443883,43446595-43446631	PF05986	http://pfam.sanger.ac.uk/family?acc=PF05986
12	43354215	43376319	-1	Pept_M12B_GON-ADAMTSs	259.9	43354215-43354298,43356484-43356588,43369290-43369381,43375379-43375512,43376057-43376148,43376236-43376319	PF08685	http://pfam.sanger.ac.uk/family?acc=PF08685
12	43425553	43427322	-1	TSP1_rpt	154.9	43425553-43425690,43427308-43427322	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
12	43431362	43432318	-1	TSP1_rpt	154.9	43431362-43431496,43432304-43432318	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
12	43428746	43429631	-1	TSP1_rpt	154.9	43428746-43428799,43429617-43429631	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
12	43376597	43377379	-1	TSP1_rpt	154.9	43376597-43376653,43377365-43377379	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
12	43399096	43425528	-1	TSP1_rpt	154.9	43399096-43399233,43425514-43425528	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
12	43427347	43428258	-1	TSP1_rpt	154.9	43427347-43427469,43428241-43428258	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
12	43429704	43431346	-1	TSP1_rpt	154.9	43429704-43429724,43430352-43430471,43431332-43431346	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
12	43432379	43432618	-1	TSP1_rpt	154.9	43432379-43432468,43432601-43432618	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
12	43383855	43399077	-1	TSP1_rpt	154.9	43383855-43383977,43399066-43399077	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
12	43428397	43428649	-1	TSP1_rpt	154.9	43428397-43428531,43428635-43428649	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
12	43452626	43453989	-1	TSP1_rpt	154.9	43452626-43452695,43453907-43453989	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
12	43532091	43551241	-1	Peptidase_M12B_N	116.5	43532091-43532195,43550909-43551241	PF01562	http://pfam.sanger.ac.uk/family?acc=PF01562
