7	36075526	36096233	Cation/H_exchanger	279.4	+	36075526	36096233	83,88,95	8	30,302,163,78,177,220,202,29	0,8497,9995,14415,14573,16486,18184,20678	PF00999	http://pfam.sanger.ac.uk/family?acc=PF00999
7	36084193	36084237	NaH_exchanger	445.0	+	36084193	36084237	83,88,95	1	44	0	PR01084	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01084&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01084
7	36084238	36084264	NaH_exchanger	301.0	+	36084238	36084264	83,88,95	1	26	0	PR01084	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01084&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01084
7	36085562	36085594	NaH_exchanger	416.0	+	36085562	36085594	83,88,95	1	32	0	PR01084	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01084&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01084
7	36084151	36084186	NaH_exchanger	310.0	+	36084151	36084186	83,88,95	1	35	0	PR01084	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01084&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01084
7	36104524	36104589	Na/H_exchanger_3/5	817.0	+	36104524	36104589	83,88,95	1	65	0	PR01087	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01087&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01087
7	36104140	36104505	Na/H_exchanger_3/5	720.0	+	36104140	36104505	83,88,95	2	41,23	0,342	PR01087	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01087&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01087
7	36096288	36098445	Na/H_exchanger_3/5	400.0	+	36096288	36098445	83,88,95	2	5,23	0,2134	PR01087	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01087&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01087
7	36075502	36075522	Na/H_exchanger_3/5	297.0	+	36075502	36075522	83,88,95	1	20	0	PR01087	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01087&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01087
7	36084301	36085528	Na/H_exchanger_3/5	198.0	+	36084301	36085528	83,88,95	2	24,7	0,1220	PR01087	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01087&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01087
7	36090269	36092042	Na/H_exchanger_3/5	520.0	+	36090269	36092042	83,88,95	2	7,30	0,1743	PR01087	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01087&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01087
7	36096252	36096284	Na/H_exchanger_3/5	277.0	+	36096252	36096284	83,88,95	1	32	0	PR01087	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01087&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01087
7	36075487	36104517	NaH_exchanger	708.2	+	36075487	36104517	83,88,95	13	69,302,163,78,177,220,202,89,70,126,91,126,35	0,8536,10034,14454,14612,16525,18223,20717,22935,23128,27657,28568,28995	TIGR00840	http://www.ebi.ac.uk/interpro/signature/TIGR00840
