#>P	ENSDARG00000099966	ENSDART00000172066	ENSDARP00000135038	12	22439165	22450108	1	polymerase (RNA) II (DNA directed) polypeptide A [Source:ZFIN;Acc:ZDB-GENE-041008-78]
#>E	ENSDARE00001155667,ENSDARE00001168513,ENSDARE00001203051,ENSDARE00001216639,ENSDARE00001225553,ENSDARE00001166549,ENSDARE00001172628,ENSDARE00001225319,ENSDARE00001222868,ENSDARE00001202967,ENSDARE00001216966,ENSDARE00001149308,ENSDARE00001211325,ENSDARE00001164228,ENSDARE00001211433,ENSDARE00001194259,ENSDARE00001183350,ENSDARE00001170057,ENSDARE00001222080,ENSDARE00001174507,ENSDARE00001168179,ENSDARE00001204154,ENSDARE00001220024,ENSDARE00001225507,ENSDARE00001149767,ENSDARE00001204002,ENSDARE00001215436,ENSDARE00001224235	0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0	22439165-22439251,22440120-22440252,22440390-22440526,22440641-22440811,22441153-22441434,22441541-22441702,22442520-22442740,22442824-22442956,22443042-22443166,22443366-22443576,22443683-22443892,22444001-22444169,22444270-22444364,22444456-22444659,22444830-22445052,22445175-22445358,22445580-22445751,22445862-22445967,22446299-22446504,22446643-22447114,22447195-22447295,22447379-22447483,22447680-22447862,22447948-22448151,22448234-22448420,22448505-22448618,22448707-22448856,22448961-22450111
12	22439204	22442600	1	RNA_pol_Rpb1_1	381.1	22439204-22439251,22440120-22440252,22440390-22440526,22440641-22440811,22441153-22441434,22441541-22441702,22442520-22442600	PF04997	http://pfam.xfam.org/family/PF04997
12	22444462	22444949	1	RNA_pol_Rpb1_4	129.2	22444462-22444659,22444830-22444949	PF05000	http://pfam.xfam.org/family/PF05000
12	22446892	22447462	1	RNA_pol_Rpb1_7	174.7	22446892-22447114,22447195-22447295,22447379-22447462	PF04990	http://pfam.xfam.org/family/PF04990
12	22444968	22448118	1	RNA_pol_Rpb1_5	338.5	22444968-22445052,22445175-22445358,22445580-22445751,22445862-22445967,22446299-22446504,22446643-22447114,22447195-22447295,22447379-22447483,22447680-22447862,22447948-22448118	PF04998	http://pfam.xfam.org/family/PF04998
12	22443478	22444292	1	RNA_pol_Rpb1_3	172.3	22443478-22443576,22443683-22443892,22444001-22444169,22444270-22444292	PF04983	http://pfam.xfam.org/family/PF04983
12	22442604	22443468	1	RNA_pol_asu	233.5	22442604-22442740,22442824-22442956,22443042-22443166,22443366-22443468	PF00623	http://pfam.xfam.org/family/PF00623
12	22449050	22449091	1	RNA_pol_II_repeat_euk	104.4	22449050-22449091	PF05001	http://pfam.xfam.org/family/PF05001
12	22450025	22450066	1	RNA_pol_II_repeat_euk	104.4	22450025-22450066	PF05001	http://pfam.xfam.org/family/PF05001
12	22449869	22449910	1	RNA_pol_II_repeat_euk	104.4	22449869-22449910	PF05001	http://pfam.xfam.org/family/PF05001
12	22449218	22449259	1	RNA_pol_II_repeat_euk	104.4	22449218-22449259	PF05001	http://pfam.xfam.org/family/PF05001
12	22449386	22449427	1	RNA_pol_II_repeat_euk	104.4	22449386-22449427	PF05001	http://pfam.xfam.org/family/PF05001
12	22449974	22450012	1	RNA_pol_II_repeat_euk	104.4	22449974-22450012	PF05001	http://pfam.xfam.org/family/PF05001
12	22449134	22449175	1	RNA_pol_II_repeat_euk	104.4	22449134-22449175	PF05001	http://pfam.xfam.org/family/PF05001
12	22449473	22449511	1	RNA_pol_II_repeat_euk	104.4	22449473-22449511	PF05001	http://pfam.xfam.org/family/PF05001
12	22449032	22449070	1	RNA_pol_II_repeat_euk	104.4	22449032-22449070	PF05001	http://pfam.xfam.org/family/PF05001
12	22449428	22449469	1	RNA_pol_II_repeat_euk	104.4	22449428-22449469	PF05001	http://pfam.xfam.org/family/PF05001
12	22449680	22449721	1	RNA_pol_II_repeat_euk	104.4	22449680-22449721	PF05001	http://pfam.xfam.org/family/PF05001
12	22449932	22449973	1	RNA_pol_II_repeat_euk	104.4	22449932-22449973	PF05001	http://pfam.xfam.org/family/PF05001
12	22449785	22449826	1	RNA_pol_II_repeat_euk	104.4	22449785-22449826	PF05001	http://pfam.xfam.org/family/PF05001
12	22449995	22450045	1	RNA_pol_II_repeat_euk	104.4	22449995-22450045	PF05001	http://pfam.xfam.org/family/PF05001
12	22449176	22449217	1	RNA_pol_II_repeat_euk	104.4	22449176-22449217	PF05001	http://pfam.xfam.org/family/PF05001
12	22449512	22449553	1	RNA_pol_II_repeat_euk	104.4	22449512-22449553	PF05001	http://pfam.xfam.org/family/PF05001
12	22449596	22449637	1	RNA_pol_II_repeat_euk	104.4	22449596-22449637	PF05001	http://pfam.xfam.org/family/PF05001
12	22449848	22449889	1	RNA_pol_II_repeat_euk	104.4	22449848-22449889	PF05001	http://pfam.xfam.org/family/PF05001
12	22449092	22449133	1	RNA_pol_II_repeat_euk	104.4	22449092-22449133	PF05001	http://pfam.xfam.org/family/PF05001
12	22449557	22449595	1	RNA_pol_II_repeat_euk	104.4	22449557-22449595	PF05001	http://pfam.xfam.org/family/PF05001
12	22449806	22449847	1	RNA_pol_II_repeat_euk	104.4	22449806-22449847	PF05001	http://pfam.xfam.org/family/PF05001
12	22449260	22449301	1	RNA_pol_II_repeat_euk	104.4	22449260-22449301	PF05001	http://pfam.xfam.org/family/PF05001
12	22449767	22449805	1	RNA_pol_II_repeat_euk	104.4	22449767-22449805	PF05001	http://pfam.xfam.org/family/PF05001
12	22449344	22449385	1	RNA_pol_II_repeat_euk	104.4	22449344-22449385	PF05001	http://pfam.xfam.org/family/PF05001
12	22449827	22449868	1	RNA_pol_II_repeat_euk	104.4	22449827-22449868	PF05001	http://pfam.xfam.org/family/PF05001
12	22449302	22449343	1	RNA_pol_II_repeat_euk	104.4	22449302-22449343	PF05001	http://pfam.xfam.org/family/PF05001
12	22445288	22446501	1	RNA_pol_Rpb1_6	235.8	22445288-22445358,22445580-22445751,22445862-22445967,22446299-22446501	PF04992	http://pfam.xfam.org/family/PF04992
