7	35759477	35768843	Nucl_hormone_rcpt_ligand-bd	0.0	-	35759477	35768843	83,88,95	6	9271,-179,-99,-113,-94,9229	0,8683,8273,5687,3016,137	SSF48508	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF48508
7	35770660	35770875	Znf_hrmn_rcpt	131.1	-	35770660	35770875	83,88,95	1	215	0	SM00399	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00399
7	35759558	35768094	Nucl_hrmn_rcpt_lig-bd_core	153.1	-	35759558	35768094	83,88,95	5	8423,-99,-113,-94,8480	0,8192,5606,2935,56	SM00430	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00430
7	35768940	35770875	Znf_hrmn_rcpt	19.155	-	35768940	35770875	83,88,95	2	1719,1925	0,10	PS51030	http://www.expasy.ch/prosite/PS51030
7	35770873	35770905	Liver_X_rcpt	585.0	-	35770873	35770905	83,88,95	1	32	0	PR02034	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR02034&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR02034
7	35770717	35770761	Liver_X_rcpt	581.0	-	35770717	35770761	83,88,95	1	44	0	PR02034	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR02034&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR02034
7	35767652	35767699	Liver_X_rcpt	740.0	-	35767652	35767699	83,88,95	1	47	0	PR02034	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR02034&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR02034
7	35765091	35765132	Liver_X_rcpt	480.0	-	35765091	35765132	83,88,95	1	41	0	PR02034	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR02034&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR02034
7	35759513	35759566	Liver_X_rcpt	838.0	-	35759513	35759566	83,88,95	1	53	0	PR02034	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR02034&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR02034
7	35768026	35768091	Str_hrmn_rcpt	417.0	-	35768026	35768091	83,88,95	1	65	0	PR00398	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00398&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00398
7	35767748	35768028	Str_hrmn_rcpt	336.0	-	35767748	35768028	83,88,95	2	233,278	0,2	PR00398	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00398&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00398
7	35765061	35765108	Str_hrmn_rcpt	276.0	-	35765061	35765108	83,88,95	1	47	0	PR00398	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00398&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00398
7	35759543	35759596	Str_hrmn_rcpt	296.0	-	35759543	35759596	83,88,95	1	53	0	PR00398	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00398&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00398
7	35770816	35770866	Znf_hrmn_rcpt	605.0	-	35770816	35770866	83,88,95	1	50	0	PR00047	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00047&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00047
7	35770771	35770818	Znf_hrmn_rcpt	574.0	-	35770771	35770818	83,88,95	1	47	0	PR00047	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00047&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00047
7	35770693	35770719	Znf_hrmn_rcpt	328.0	-	35770693	35770719	83,88,95	1	26	0	PR00047	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00047&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00047
7	35770669	35770695	Znf_hrmn_rcpt	274.0	-	35770669	35770695	83,88,95	1	26	0	PR00047	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00047&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00047
7	35768883	35768939	ThyrH_rcpt	199.0	-	35768883	35768939	83,88,95	1	56	0	PR00546	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00546&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00546
7	35768035	35768100	ThyrH_rcpt	559.0	-	35768035	35768100	83,88,95	1	65	0	PR00546	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00546&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00546
7	35767733	35768022	ThyrH_rcpt	420.0	-	35767733	35768022	83,88,95	2	248,272	0,17	PR00546	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00546&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00546
7	35762483	35765108	ThyrH_rcpt	502.0	-	35762483	35765108	83,88,95	2	2568,2615	0,10	PR00546	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00546&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00546
7	35770870	35770905	Ecdystd_rcpt	277.0	-	35770870	35770905	83,88,95	1	35	0	PR01283	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01283&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01283
7	35768077	35768136	Ecdystd_rcpt	322.0	-	35768077	35768136	83,88,95	1	59	0	PR01283	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01283&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01283
7	35765091	35765147	Ecdystd_rcpt	226.0	-	35765091	35765147	83,88,95	1	56	0	PR01283	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01283&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01283
7	35759537	35759590	Ecdystd_rcpt	266.0	-	35759537	35759590	83,88,95	1	53	0	PR01283	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01283&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01283
7	35759477	35759533	Ecdystd_rcpt	704.0	-	35759477	35759533	83,88,95	1	56	0	PR01283	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01283&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01283
7	35768901	35768942	Retinoic_acid_rcpt	255.0	-	35768901	35768942	83,88,95	1	41	0	PR01292	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01292&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01292
7	35767658	35767732	Retinoic_acid_rcpt	365.0	-	35767658	35767732	83,88,95	1	74	0	PR01292	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01292&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01292
7	35762420	35762485	Retinoic_acid_rcpt	434.0	-	35762420	35762485	83,88,95	1	65	0	PR01292	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01292&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01292
7	35759522	35759569	Retinoic_acid_rcpt	252.0	-	35759522	35759569	83,88,95	1	47	0	PR01292	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01292&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01292
7	35759471	35759503	Retinoic_acid_rcpt	194.0	-	35759471	35759503	83,88,95	1	32	0	PR01292	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01292&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01292
7	35759486	35768016	Nucl_hrmn_rcpt_lig-bd_core	130.4	-	35759486	35768016	83,88,95	5	8495,-99,-113,-94,8402	0,8264,5678,3007,128	PF00104	http://pfam.sanger.ac.uk/family?acc=PF00104
7	35770666	35770869	Znf_hrmn_rcpt	96.1	-	35770666	35770869	83,88,95	1	203	0	PF00105	http://pfam.sanger.ac.uk/family?acc=PF00105
