#>P	ENSDARG00000026759	ENSDART00000125176	ENSDARP00000109790	6	38734	54467	1	adaptor-related protein complex 1, mu 2 subunit [Source:HGNC Symbol;Acc:HGNC:558]
#>E	ENSDARE00000807713,ENSDARE00001129091,ENSDARE00001118241,ENSDARE00000837506,ENSDARE00000960568,ENSDARE00000914643,ENSDARE00000922588,ENSDARE00000970072,ENSDARE00000969172,ENSDARE00000944261,ENSDARE00000923060,ENSDARE00000955652,ENSDARE00000979243,ENSDARE00000897946,ENSDARE00001112563,ENSDARE00001107630,ENSDARE00001106206,ENSDARE00001122422,ENSDARE00001112121,ENSDARE00001129068,ENSDARE00001110063,ENSDARE00001128086,ENSDARE00001118034,ENSDARE00001108333,ENSDARE00000910104	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	38734-38824,38960-39082,39257-39379,39514-39633,39708-39836,39978-40149,40428-40643,40753-40871,41008-41147,41229-41370,41596-41748,42188-42346,42511-42585,43424-43587,48484-48640,50787-50854,50937-51067,51143-51290,51915-52041,52126-52268,52920-52991,53139-53297,53376-53501,53745-53820,54445-54470
6	51213	54458	1	Clathrin_mu_C	296.1	51213-51290,51915-52041,52126-52268,52920-52991,53139-53297,53376-53501,53745-53820,54445-54458	PF00928	http://pfam.sanger.ac.uk/family?acc=PF00928
6	40109	40512	1	LDLR_classB_rpt	27.6	40109-40149,40428-40512	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
6	40516	40638	1	LDLR_classB_rpt	48.9	40516-40638	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
6	40642	41009	1	LDLR_classB_rpt	45.3	40642-40643,40753-40871,41008-41009	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
6	41019	41147	1	LDLR_classB_rpt	33.9	41019-41147	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
6	41232	41351	1	LDLR_classB_rpt	21.1	41232-41351	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
6	38737	38823	1	LDrepeatLR_classA_rpt	35.1	38737-38823	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
6	38968	39075	1	LDrepeatLR_classA_rpt	41.3	38968-39075	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
6	39262	39378	1	LDrepeatLR_classA_rpt	37.6	39262-39378	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
6	39707	39820	1	EGF-like_Ca-bd_dom	31.2	39707-39820	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
6	48595	51149	1	AP_mu_sigma_su	23.8	48595-48640,50787-50854,50937-51067,51143-51149	PF01217	http://pfam.sanger.ac.uk/family?acc=PF01217
