#>P	ENSG00000148773	ENST00000368654	ENSP00000357643	10	128099193	128125667	-1	marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]
#>E	ENSE00001385972,ENSE00002510572,ENSE00002712946,ENSE00000987378,ENSE00000987377,ENSE00003593206,ENSE00000987375,ENSE00000987374,ENSE00000987373,ENSE00003516917,ENSE00003590971,ENSE00000987370,ENSE00000987369,ENSE00001387181	0,0,0,0,0,0,0,0,0,0,0,0,0,0	128099190-128099255,128101258-128101701,128102579-128109423,128110378-128110533,128111645-128111816,128111927-128112045,128112133-128112445,128113427-128113602,128114928-128116007,128116491-128116536,128119253-128119319,128122881-128122996,128123091-128123169,128125576-128125667
10	128113436	128113579	-1	PP1-bd	55.5	128113436-128113579	PF15276	http://pfam.sanger.ac.uk/family?acc=PF15276
10	128106680	128107015	-1	K167R	2329.1	128106680-128107015	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
10	128103776	128104102	-1	K167R	2329.1	128103776-128104102	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
10	128107772	128108107	-1	K167R	2329.1	128107772-128108107	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
10	128107049	128107378	-1	K167R	2329.1	128107049-128107378	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
10	128104862	128105197	-1	K167R	2329.1	128104862-128105197	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
10	128106314	128106649	-1	K167R	2329.1	128106314-128106649	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
10	128107409	128107741	-1	K167R	2329.1	128107409-128107741	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
10	128105582	128105917	-1	K167R	2329.1	128105582-128105917	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
10	128105948	128106280	-1	K167R	2329.1	128105948-128106280	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
10	128104499	128104834	-1	K167R	2329.1	128104499-128104834	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
10	128108504	128108839	-1	K167R	2329.1	128108504-128108839	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
10	128108138	128108473	-1	K167R	2329.1	128108138-128108473	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
10	128103425	128103742	-1	K167R	2329.1	128103425-128103742	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
10	128104133	128104468	-1	K167R	2329.1	128104133-128104468	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
10	128105228	128105551	-1	K167R	2329.1	128105228-128105551	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
10	128103056	128103385	-1	K167R	2329.1	128103056-128103385	PF08065	http://pfam.sanger.ac.uk/family?acc=PF08065
10	128122898	128125589	-1	FHA_dom	53.8	128122898-128122996,128123091-128123169,128125576-128125589	PF00498	http://pfam.sanger.ac.uk/family?acc=PF00498
