14	12446619	12457273	His_deacetylse_dom	276.7	+	12446619	12457273	83,88,95	11	83,142,81,56,55,133,80,73,64,89,21	0,177,538,1212,1433,3083,3428,6700,6851,7040,10633	PF00850	http://pfam.sanger.ac.uk/family?acc=PF00850
14	12447200	12447854	His_deacetylse_1	634.0	+	12447200	12447854	83,88,95	2	38,23	0,631	PR01271	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01271&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01271
14	12446634	12446687	His_deacetylse_1	738.0	+	12446634	12446687	83,88,95	1	53	0	PR01271	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01271&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01271
14	12446826	12446882	His_deacetylse_1	685.0	+	12446826	12446882	83,88,95	1	56	0	PR01271	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01271&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01271
14	12446919	12447190	His_deacetylse_1	886.0	+	12446919	12447190	83,88,95	2	19,33	0,238	PR01271	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01271&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01271
14	12453372	12453481	His_deacetylse	346.0	+	12453372	12453481	83,88,95	2	20,11	0,98	PR01270	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01270&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01270
14	12449712	12449759	His_deacetylse	695.0	+	12449712	12449759	83,88,95	1	47	0	PR01270	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01270&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01270
14	12450064	12450105	His_deacetylse_1	515.0	+	12450064	12450105	83,88,95	1	41	0	PR01271	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01271&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01271
14	12450115	12453362	His_deacetylse_1	574.0	+	12450115	12453362	83,88,95	2	12,43	0,3204	PR01271	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01271&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01271
14	12447858	12448093	His_deacetylse	822.0	+	12447858	12448093	83,88,95	2	29,41	0,194	PR01270	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01270&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01270
14	12448079	12449723	His_deacetylse_1	702.0	+	12448079	12449723	83,88,95	2	28,21	0,1623	PR01271	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01271&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01271
14	12437343	12463436	His_deacetylse_1	1042.7	+	12437343	12463436	83,88,95	15	54,82,142,81,56,55,133,80,73,64,89,58,79,157,63	0,9277,9453,9814,10488,10709,12359,12704,15976,16127,16316,19909,21543,23912,26030	PIRSF037913	None
