#>P	ENSCING00000007177	ENSCINT00000014720	ENSCINP00000014720	7	3687680	3706524	-1	\N
#>E	ENSCINE00000247506,ENSCINE00000097512,ENSCINE00000097511,ENSCINE00000097510,ENSCINE00000097509,ENSCINE00000097508,ENSCINE00000097507,ENSCINE00000097506,ENSCINE00000097505,ENSCINE00000097504,ENSCINE00000097503,ENSCINE00000151170,ENSCINE00000097500,ENSCINE00000244081,ENSCINE00000209354,ENSCINE00000097498,ENSCINE00000097497,ENSCINE00000097517,ENSCINE00000097516,ENSCINE00000097515,ENSCINE00000097492,ENSCINE00000097491,ENSCINE00000097490,ENSCINE00000097489,ENSCINE00000097488,ENSCINE00000097487,ENSCINE00000097486,ENSCINE00000097485,ENSCINE00000097514	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	3687677-3687933,3688155-3688254,3688569-3688727,3689052-3689251,3689604-3689718,3690083-3690184,3690432-3690636,3690983-3691227,3691624-3691826,3692072-3692407,3692752-3692958,3693279-3693365,3693535-3693768,3694280-3694386,3694407-3694473,3694799-3695020,3695258-3695408,3695859-3695919,3695956-3696046,3696650-3696769,3697562-3697698,3698258-3698362,3698800-3698917,3699501-3699689,3701400-3701566,3701745-3701875,3702703-3702849,3702955-3703109,3706149-3706524
7	3701747	3706419	-1	Laminin_N	279.6	3701747-3701875,3702703-3702849,3702955-3703109,3706149-3706419	PF00055	http://pfam.xfam.org/family/PF00055
7	3701437	3701565	-1	EGF_laminin	27.7	3701437-3701565	PF00053	http://pfam.xfam.org/family/PF00053
7	3699532	3699687	-1	EGF_laminin	25.9	3699532-3699687	PF00053	http://pfam.xfam.org/family/PF00053
7	3698802	3699519	-1	EGF_laminin	35.3	3698802-3698917,3699501-3699519	PF00053	http://pfam.xfam.org/family/PF00053
7	3697650	3698358	-1	EGF_laminin	37.0	3697650-3697698,3698258-3698358	PF00053	http://pfam.xfam.org/family/PF00053
7	3694368	3694841	-1	EGF_laminin	31.3	3694368-3694386,3694407-3694473,3694799-3694841	PF00053	http://pfam.xfam.org/family/PF00053
7	3693554	3693700	-1	EGF_laminin	34.9	3693554-3693700	PF00053	http://pfam.xfam.org/family/PF00053
7	3692900	3693363	-1	EGF_laminin	42.8	3692900-3692958,3693279-3693363	PF00053	http://pfam.xfam.org/family/PF00053
7	3692756	3692893	-1	EGF_laminin	41.0	3692756-3692893	PF00053	http://pfam.xfam.org/family/PF00053
7	3692280	3692405	-1	EGF_laminin	27.7	3692280-3692405	PF00053	http://pfam.xfam.org/family/PF00053
7	3694944	3696665	-1	Laminin_B_type_IV	93.3	3694944-3695020,3695258-3695408,3695859-3695919,3695956-3696046,3696650-3696665	PF00052	http://pfam.xfam.org/family/PF00052
