#>P	ENSMUSG00000046743	ENSMUST00000061260	ENSMUSP00000061836	3	38886960	39010839	1	FAT atypical cadherin 4 [Source:MGI Symbol;Acc:MGI:3045256]
#>E	ENSMUSE00000492103,ENSMUSE00001248284,ENSMUSE00001225444,ENSMUSE00000592344,ENSMUSE00000592343,ENSMUSE00000592342,ENSMUSE00000592341,ENSMUSE00000592340,ENSMUSE00000592339,ENSMUSE00000568563,ENSMUSE00000592338,ENSMUSE00000592337,ENSMUSE00000568559,ENSMUSE00000568558,ENSMUSE00000568556,ENSMUSE00000592333,ENSMUSE00000348076	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	38886960-38892134,38942809-38942940,38949441-38949702,38951023-38951373,38956673-38957595,38958401-38958575,38970626-38970806,38977267-38977517,38979651-38984000,38991634-38991738,38995896-38996203,38999072-38999157,39000110-39000289,39001113-39001237,39002761-39002978,39007092-39007353,39008981-39010842
3	38983904	38983999	1	EGF-like_Ca-bd_dom	41.7	38983904-38983999	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
3	39002910	39009018	1	Laminin_G	142	39002910-39002978,39007092-39007353,39008981-39009018	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
3	38996000	39000242	1	Laminin_G	142	38996000-38996203,38999072-38999157,39000110-39000242	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
3	38891586	38891822	1	Cadherin	2072.7	38891586-38891822	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38982431	38982706	1	Cadherin	2072.7	38982431-38982706	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38956927	38957187	1	Cadherin	2072.7	38956927-38957187	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38887380	38887682	1	Cadherin	2072.7	38887380-38887682	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38981489	38981758	1	Cadherin	2072.7	38981489-38981758	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38982113	38982394	1	Cadherin	2072.7	38982113-38982394	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38888397	38888678	1	Cadherin	2072.7	38888397-38888678	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38890272	38890553	1	Cadherin	2072.7	38890272-38890553	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38957542	38970669	1	Cadherin	2072.7	38957542-38957595,38958401-38958575,38970626-38970669	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38979923	38980186	1	Cadherin	2072.7	38979923-38980186	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38887722	38887988	1	Cadherin	2072.7	38887722-38887988	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38889351	38889608	1	Cadherin	2072.7	38889351-38889608	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38977484	38979874	1	Cadherin	2072.7	38977484-38977517,38979651-38979874	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38891241	38891510	1	Cadherin	2072.7	38891241-38891510	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38949669	38951255	1	Cadherin	2072.7	38949669-38949702,38951023-38951255	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38951298	38956866	1	Cadherin	2072.7	38951298-38951373,38956673-38956866	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38942875	38949626	1	Cadherin	2072.7	38942875-38942940,38949441-38949626	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38970712	38977444	1	Cadherin	2072.7	38970712-38970806,38977267-38977444	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38980844	38981122	1	Cadherin	2072.7	38980844-38981122	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38890602	38890877	1	Cadherin	2072.7	38890602-38890877	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38981180	38981446	1	Cadherin	2072.7	38981180-38981446	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38982749	38983021	1	Cadherin	2072.7	38982749-38983021	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38890926	38891189	1	Cadherin	2072.7	38890926-38891189	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38980235	38980498	1	Cadherin	2072.7	38980235-38980498	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38980538	38980792	1	Cadherin	2072.7	38980538-38980792	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38957227	38957499	1	Cadherin	2072.7	38957227-38957499	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38891871	38942823	1	Cadherin	2072.7	38891871-38892134,38942809-38942823	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38888721	38888996	1	Cadherin	2072.7	38888721-38888996	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38981810	38982067	1	Cadherin	2072.7	38981810-38982067	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38888052	38888315	1	Cadherin	2072.7	38888052-38888315	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38889660	38889917	1	Cadherin	2072.7	38889660-38889917	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38889039	38889311	1	Cadherin	2072.7	38889039-38889311	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	38889960	38890229	1	Cadherin	2072.7	38889960-38890229	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
3	39009187	39009279	1	EGF-like_dom	88.1	39009187-39009279	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
3	38983802	38983891	1	EGF-like_dom	88.1	38983802-38983891	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
