#>P	ENSG00000176293	ENST00000401053	ENSP00000441410	19	58059242	58068458	1	zinc finger protein 135 [Source:HGNC Symbol;Acc:HGNC:12919]
#>E	ENSE00003594092,ENSE00003584871,ENSE00001719254,ENSE00002069408	0,0,0,0	58059242-58059310,58061580-58061706,58063446-58063541,58066705-58068461
19	58061586	58063447	1	KRAB	80	58061586-58061706,58063446-58063447	PF01352	http://pfam.sanger.ac.uk/family?acc=PF01352
19	58067376	58067408	1	Znf_C2H2	106.2	58067376-58067408	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	58067628	58067696	1	Znf_C2H2	106.2	58067628-58067696	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	58067712	58067780	1	Znf_C2H2	308.2	58067712-58067780	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	58067880	58067948	1	Znf_C2H2	308.2	58067880-58067948	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	58067964	58068032	1	Znf_C2H2	308.2	58067964-58068032	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	58067124	58067192	1	Znf_C2H2	308.2	58067124-58067192	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	58068132	58068200	1	Znf_C2H2	308.2	58068132-58068200	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	58068300	58068368	1	Znf_C2H2	308.2	58068300-58068368	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	58067460	58067528	1	Znf_C2H2	308.2	58067460-58067528	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	58067544	58067612	1	Znf_C2H2	308.2	58067544-58067612	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	58068384	58068452	1	Znf_C2H2	308.2	58068384-58068452	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
