4	51726206	51728941	B30.2/SPRY	17.68	-	51726206	51728941	83,88,95	3	2733,-46,2213	0,1905,522	PS50188	http://www.expasy.ch/prosite/PS50188
4	51733630	51733713	Leu-rich_rpt_RNase_inh_sub-typ	40.2	-	51733630	51733713	83,88,95	1	83	0	SM00368	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00368
4	51731514	51733626	Leu-rich_rpt_RNase_inh_sub-typ	11.2	-	51731514	51733626	83,88,95	2	2092,2050	0,62	SM00368	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00368
4	51731427	51731510	Leu-rich_rpt_RNase_inh_sub-typ	40.5	-	51731427	51731510	83,88,95	1	83	0	SM00368	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00368
4	51729050	51731423	Leu-rich_rpt_RNase_inh_sub-typ	20.3	-	51729050	51731423	83,88,95	2	2353,2311	0,62	SM00368	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00368
4	51728963	51729046	Leu-rich_rpt_RNase_inh_sub-typ	27.0	-	51728963	51729046	83,88,95	1	83	0	SM00368	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00368
4	51726566	51726724	PRY	68.7	-	51726566	51726724	83,88,95	1	158	0	SM00589	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00589
4	51726215	51726568	SPla/RYanodine_receptor_subgr	44.0	-	51726215	51726568	83,88,95	1	353	0	SM00449	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00449
4	51726674	51726727	Butyrophylin	335.0	-	51726674	51726727	83,88,95	1	53	0	PR01407	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01407&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01407
4	51726623	51726676	Butyrophylin	203.0	-	51726623	51726676	83,88,95	1	53	0	PR01407	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01407&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01407
4	51726485	51726526	Butyrophylin	217.0	-	51726485	51726526	83,88,95	1	41	0	PR01407	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01407&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01407
4	51726311	51726385	Butyrophylin	526.0	-	51726311	51726385	83,88,95	1	74	0	PR01407	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01407&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01407
4	51726209	51726565	SPRY_rcpt	36.5	-	51726209	51726565	83,88,95	1	356	0	PF00622	http://pfam.sanger.ac.uk/family?acc=PF00622
4	51733639	51733704	Leu-rich_rpt	11.7	-	51733639	51733704	83,88,95	1	65	0	PF00560	http://pfam.sanger.ac.uk/family?acc=PF00560
4	51731433	51731501	Leu-rich_rpt	11.8	-	51731433	51731501	83,88,95	1	68	0	PF00560	http://pfam.sanger.ac.uk/family?acc=PF00560
4	51726206	51728084	ConA-like_lec_gl_sf	0.0	-	51726206	51728084	83,88,95	2	1859,1356	0,522	SSF49899	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF49899
