#>P	ENSMUSG00000091455	ENSMUST00000165341	ENSMUSP00000129467	10	107762313	107912128	-1	otogelin-like [Source:MGI Symbol;Acc:MGI:3647600]
#>E	ENSMUSE00000906622,ENSMUSE00000900209,ENSMUSE00000884008,ENSMUSE00000885154,ENSMUSE00000878452,ENSMUSE00000905114,ENSMUSE00000905298,ENSMUSE00000912297,ENSMUSE00000905889,ENSMUSE00000897839,ENSMUSE00000882659,ENSMUSE00000893154,ENSMUSE00000883559,ENSMUSE00000895366,ENSMUSE00000907414,ENSMUSE00000879985,ENSMUSE00000911454,ENSMUSE00000881012,ENSMUSE00000884706,ENSMUSE00000909380,ENSMUSE00000905095,ENSMUSE00000915526,ENSMUSE00000877044,ENSMUSE00000904239,ENSMUSE00000906813,ENSMUSE00000895192,ENSMUSE00000891449,ENSMUSE00000873943,ENSMUSE00000877956,ENSMUSE00000889276,ENSMUSE00000877397,ENSMUSE00000906515,ENSMUSE00000875432,ENSMUSE00000891061,ENSMUSE00000892964,ENSMUSE00000883877,ENSMUSE00000876462,ENSMUSE00000914129,ENSMUSE00000878098,ENSMUSE00000872784,ENSMUSE00000888791,ENSMUSE00000879763,ENSMUSE00000878468,ENSMUSE00000883497,ENSMUSE00000893424,ENSMUSE00000903746,ENSMUSE00000916370,ENSMUSE00000914442,ENSMUSE00000889084,ENSMUSE00000874191,ENSMUSE00000891381,ENSMUSE00000892118,ENSMUSE00000888628,ENSMUSE00000873097,ENSMUSE00000915854,ENSMUSE00000907783,ENSMUSE00000884476,ENSMUSE00000916420	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	107762310-107762510,107763184-107763263,107767766-107767811,107768893-107769012,107770540-107770644,107771095-107771273,107772266-107772329,107777081-107777121,107777208-107777312,107777566-107777667,107778855-107778962,107779216-107779320,107779715-107779927,107780906-107781091,107781928-107782069,107783617-107783831,107786758-107786947,107789000-107789092,107789183-107789206,107789422-107789564,107790486-107790663,107794142-107794188,107798322-107798360,107798722-107798801,107803578-107803695,107806514-107806792,107808609-107808776,107812902-107812928,107813913-107814069,107817067-107817183,107819937-107820056,107821882-107822031,107827673-107827807,107853267-107853405,107854246-107854353,107856968-107857130,107858895-107858947,107861066-107861140,107862145-107862310,107866594-107866803,107869478-107869602,107874365-107874542,107876798-107876921,107877997-107878142,107878567-107878613,107879447-107879555,107881351-107881476,107881695-107881801,107886467-107886573,107886951-107887078,107892069-107892274,107895695-107895816,107899460-107899614,107901245-107901343,107903049-107903115,107909866-107909914,107910920-107910959,107912077-107912128
10	107806518	107808648	-1	AbfB_ABD	31.2	107806518-107806792,107808609-107808648	PF05270	http://pfam.sanger.ac.uk/family?acc=PF05270
10	107813914	107817114	-1	Unchr_dom_Cys-rich	140.2	107813914-107814069,107817067-107817114	PF08742	http://pfam.sanger.ac.uk/family?acc=PF08742
10	107881702	107886561	-1	Unchr_dom_Cys-rich	140.2	107881702-107881801,107886467-107886561	PF08742	http://pfam.sanger.ac.uk/family?acc=PF08742
10	107781929	107783664	-1	Unchr_dom_Cys-rich	140.2	107781929-107782069,107783617-107783664	PF08742	http://pfam.sanger.ac.uk/family?acc=PF08742
10	107866604	107866789	-1	Unchr_dom_Cys-rich	140.2	107866604-107866789	PF08742	http://pfam.sanger.ac.uk/family?acc=PF08742
10	107861131	107862302	-1	TIL_dom	58.1	107861131-107861140,107862145-107862302	PF01826	http://pfam.sanger.ac.uk/family?acc=PF01826
10	107780907	107781083	-1	TIL_dom	58.1	107780907-107781083	PF01826	http://pfam.sanger.ac.uk/family?acc=PF01826
10	107798359	107803654	-1	TIL_dom	58.1	107798359-107798360,107798722-107798801,107803578-107803654	PF01826	http://pfam.sanger.ac.uk/family?acc=PF01826
10	107869587	107878137	-1	VWF_type-D	320.8	107869587-107869602,107874365-107874542,107876798-107876921,107877997-107878137	PF00094	http://pfam.sanger.ac.uk/family?acc=PF00094
10	107892079	107899582	-1	VWF_type-D	320.8	107892079-107892274,107895695-107895816,107899460-107899582	PF00094	http://pfam.sanger.ac.uk/family?acc=PF00094
10	107783782	107789559	-1	VWF_type-D	320.8	107783782-107783831,107786758-107786947,107789000-107789092,107789183-107789206,107789422-107789559	PF00094	http://pfam.sanger.ac.uk/family?acc=PF00094
10	107819988	107853353	-1	VWF_type-D	320.8	107819988-107820056,107821882-107822031,107827673-107827807,107853267-107853353	PF00094	http://pfam.sanger.ac.uk/family?acc=PF00094
