#>P	ENSG00000131018	ENST00000367255	ENSP00000356224	6	152122439	152628331	-1	spectrin repeat containing nuclear envelope protein 1 [Source:HGNC Symbol;Acc:HGNC:17089]
#>E	ENSE00002277008,ENSE00003544051,ENSE00003513535,ENSE00003611847,ENSE00003653695,ENSE00003470465,ENSE00003687918,ENSE00003635433,ENSE00003600162,ENSE00003631167,ENSE00003594822,ENSE00003476595,ENSE00003667521,ENSE00003577216,ENSE00003535941,ENSE00003602237,ENSE00003515568,ENSE00003682087,ENSE00003618260,ENSE00003661515,ENSE00003479217,ENSE00003605200,ENSE00003635198,ENSE00003555947,ENSE00003642959,ENSE00003501658,ENSE00003537376,ENSE00003595680,ENSE00003487461,ENSE00003475424,ENSE00003512051,ENSE00003620702,ENSE00003507024,ENSE00003545300,ENSE00003691662,ENSE00003691265,ENSE00003596449,ENSE00003485618,ENSE00003665216,ENSE00003592856,ENSE00003508452,ENSE00003555106,ENSE00003564771,ENSE00003685575,ENSE00003574981,ENSE00003573270,ENSE00003641415,ENSE00003520290,ENSE00003545857,ENSE00003612102,ENSE00003461030,ENSE00003616759,ENSE00003493240,ENSE00003575066,ENSE00003616478,ENSE00003642560,ENSE00003515798,ENSE00003579103,ENSE00003534822,ENSE00003531641,ENSE00003613632,ENSE00003612786,ENSE00003635238,ENSE00003725419,ENSE00003489467,ENSE00003517669,ENSE00003463621,ENSE00003581158,ENSE00003539537,ENSE00002276489,ENSE00002226110,ENSE00003597917,ENSE00003560481,ENSE00003484388,ENSE00003479889,ENSE00003647188,ENSE00003637704,ENSE00003670268,ENSE00003615303,ENSE00003640637,ENSE00003472590,ENSE00003636449,ENSE00003584162,ENSE00003693993,ENSE00002287320,ENSE00002286239,ENSE00002209989,ENSE00003563575,ENSE00003636890,ENSE00003513393,ENSE00003498343,ENSE00003655736,ENSE00003590484,ENSE00003544193,ENSE00003680055,ENSE00003541405,ENSE00003538877,ENSE00003620360,ENSE00003616159,ENSE00003685430,ENSE00003549618,ENSE00003579071,ENSE00003605868,ENSE00003631226,ENSE00003557142,ENSE00003689437,ENSE00003627367,ENSE00003586941,ENSE00003685463,ENSE00003467740,ENSE00003461879,ENSE00003528517,ENSE00003677183,ENSE00003578451,ENSE00003511448,ENSE00003576593,ENSE00003575208,ENSE00003465968,ENSE00003506076,ENSE00003560832,ENSE00003655930,ENSE00003578915,ENSE00003461989,ENSE00003601034,ENSE00003584197,ENSE00003608454,ENSE00003640551,ENSE00003611600,ENSE00003564557,ENSE00003512843,ENSE00003609358,ENSE00003641967,ENSE00003667888,ENSE00003584189,ENSE00003610922,ENSE00002246673,ENSE00003580914,ENSE00003543523,ENSE00003508127,ENSE00003513496,ENSE00003541140,ENSE00003471089,ENSE00003634323,ENSE00003604375	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	152122436-152122676,152130720-152130778,152132122-152132214,152133276-152133488,152135104-152135232,152136618-152136818,152139950-152140161,152141203-152141329,152143623-152143765,152148045-152148378,152149477-152149668,152151553-152151690,152151959-152152141,152154892-152155042,152155910-152156097,152164163-152164325,152176394-152176560,152180136-152180294,152189252-152189407,152201824-152201949,152206168-152206362,152207972-152208206,152211494-152211588,152213612-152213759,152214906-152215060,152218257-152218403,152219003-152219185,152220842-152221046,152221426-152221559,152224494-152224664,152225721-152225876,152230547-152230702,152231391-152231567,152232116-152232265,152233781-152233963,152234668-152234800,152236107-152236303,152236817-152236948,152239533-152239706,152242240-152242440,152244537-152244656,152249161-152249262,152254880-152255089,152255591-152255746,152256634-152256765,152262032-152262188,152268056-152268165,152269155-152269286,152278089-152278280,152281807-152281980,152283978-152284172,152293588-152293749,152293960-152294127,152300641-152300781,152301869-152302063,152308489-152308632,152309835-152310017,152310396-152310518,152310688-152310873,152316849-152316986,152318081-152318263,152318863-152319015,152321238-152321390,152321721-152321886,152323478-152323737,152325084-152325302,152325958-152326102,152326296-152326633,152329730-152331890,152334008-152334273,152336841-152337017,152339241-152339366,152344081-152344227,152347059-152347235,152350168-152350335,152350618-152350770,152352027-152352353,152353263-152353433,152353589-152353744,152354659-152354976,152358373-152358537,152359315-152359458,152362170-152362323,152364847-152365019,152367218-152367382,152368972-152369127,152369471-152369614,152373037-152373219,152376381-152376558,152376776-152376912,152381006-152381362,152385674-152385838,152387072-152387381,152390280-152390452,152391277-152391568,152395516-152395671,152396775-152396980,152398619-152398731,152399616-152399823,152401138-152401341,152404213-152404314,152407014-152407196,152409068-152409226,152409559-152409709,152413352-152413531,152416387-152417015,152419569-152419722,152425381-152425547,152427693-152427816,152428205-152428392,152430112-152430210,152430482-152430709,152433795-152433945,152435941-152436101,152441130-152441270,152442075-152442245,152444411-152444578,152447458-152447622,152449533-152449641,152450625-152450833,152451047-152451205,152453586-152453720,152455426-152455590,152455886-152456044,152458757-152458930,152461597-152461740,152462738-152462890,152463353-152463517,152465258-152465460,152465982-152466078,152471597-152471765,152472301-152472413,152483085-152483249,152484835-152484972,152488396-152488503,152498742-152498792,152502633-152502742,152505201-152505397,152510193-152510371,152511011-152511103,152520459-152520542,152526080-152526175,152539960-152540021,152628265-152628331
6	152122442	152122612	-1	KASH	92.9	152122442-152122612	PF10541	http://pfam.sanger.ac.uk/family?acc=PF10541
6	152502672	152510236	-1	CH-domain	150.7	152502672-152502742,152505201-152505397,152510193-152510236	PF00307	http://pfam.sanger.ac.uk/family?acc=PF00307
6	152511011	152540007	-1	CH-domain	150.7	152511011-152511103,152520459-152520542,152526080-152526175,152539960-152540007	PF00307	http://pfam.sanger.ac.uk/family?acc=PF00307
6	152149489	152151675	-1	Spectrin_repeat	455.6	152149489-152149668,152151553-152151675	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
6	152350330	152352158	-1	Spectrin_repeat	455.6	152350330-152350335,152350618-152350770,152352027-152352158	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
6	152367362	152369599	-1	Spectrin_repeat	455.6	152367362-152367382,152368972-152369127,152369471-152369599	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
6	152221013	152224598	-1	Spectrin_repeat	455.6	152221013-152221046,152221426-152221559,152224494-152224598	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
6	152155033	152164294	-1	Spectrin_repeat	455.6	152155033-152155042,152155910-152156097,152164163-152164294	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
6	152136636	152140090	-1	Spectrin_repeat	455.6	152136636-152136818,152139950-152140090	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
6	152301917	152308620	-1	Spectrin_repeat	455.6	152301917-152302063,152308489-152308620	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
6	152213750	152218391	-1	Spectrin_repeat	455.6	152213750-152213759,152214906-152215060,152218257-152218391	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
6	152164307	152180249	-1	Spectrin_repeat	455.6	152164307-152164325,152176394-152176560,152180136-152180249	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
6	152224662	152230672	-1	Spectrin_repeat	455.6	152224662-152224664,152225721-152225876,152230547-152230672	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
