#>P	ENSDARG00000094055	ENSDART00000140869	ENSDARP00000117883	10	15024858	15058866	1	si:dkey-88l16.3 [Source:ZFIN;Acc:ZDB-GENE-030131-6015]
#>E	ENSDARE00000996965,ENSDARE00001013845,ENSDARE00001038987,ENSDARE00001028990,ENSDARE00001046180,ENSDARE00000995396,ENSDARE00001000701,ENSDARE00000985210,ENSDARE00001034718,ENSDARE00001000038,ENSDARE00001009058,ENSDARE00001022018,ENSDARE00001038864,ENSDARE00000999091,ENSDARE00001018725,ENSDARE00001021700,ENSDARE00001044575,ENSDARE00001010803,ENSDARE00000998057,ENSDARE00001002633,ENSDARE00000993765,ENSDARE00001044606,ENSDARE00000991573,ENSDARE00001021979,ENSDARE00001024930,ENSDARE00001040760,ENSDARE00001003507	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	15024858-15024912,15028454-15028606,15028704-15028970,15030862-15031077,15031157-15031309,15031652-15031918,15032002-15032217,15034497-15034673,15034761-15034964,15037642-15037809,15037897-15038112,15040397-15040626,15042371-15042500,15042579-15042772,15042951-15043137,15044405-15044620,15046021-15046204,15048043-15048244,15048346-15048510,15049356-15049562,15051360-15051909,15052481-15052606,15053996-15054103,15054895-15055128,15056682-15056994,15058196-15058313,15058828-15058869
10	15043005	15043127	1	EGF-like_Ca-bd_dom	28.9	15043005-15043127	PF07645	http://pfam.xfam.org/family/PF07645
10	15028594	15028801	1	LDrepeatLR_classA_rpt	522.4	15028594-15028606,15028704-15028801	PF00057	http://pfam.xfam.org/family/PF00057
10	15042392	15042580	1	LDrepeatLR_classA_rpt	522.4	15042392-15042500,15042579-15042580	PF00057	http://pfam.xfam.org/family/PF00057
10	15028474	15028584	1	LDrepeatLR_classA_rpt	522.4	15028474-15028584	PF00057	http://pfam.xfam.org/family/PF00057
10	15034868	15034963	1	LDrepeatLR_classA_rpt	522.4	15034868-15034963	PF00057	http://pfam.xfam.org/family/PF00057
10	15028841	15028951	1	LDrepeatLR_classA_rpt	522.4	15028841-15028951	PF00057	http://pfam.xfam.org/family/PF00057
10	15031789	15031899	1	LDrepeatLR_classA_rpt	522.4	15031789-15031899	PF00057	http://pfam.xfam.org/family/PF00057
10	15040534	15042376	1	LDrepeatLR_classA_rpt	522.4	15040534-15040626,15042371-15042376	PF00057	http://pfam.xfam.org/family/PF00057
10	15040405	15040512	1	LDrepeatLR_classA_rpt	522.4	15040405-15040512	PF00057	http://pfam.xfam.org/family/PF00057
10	15037797	15037994	1	LDrepeatLR_classA_rpt	522.4	15037797-15037809,15037897-15037994	PF00057	http://pfam.xfam.org/family/PF00057
10	15031177	15031287	1	LDrepeatLR_classA_rpt	522.4	15031177-15031287	PF00057	http://pfam.xfam.org/family/PF00057
10	15028958	15030959	1	LDrepeatLR_classA_rpt	522.4	15028958-15028970,15030862-15030959	PF00057	http://pfam.xfam.org/family/PF00057
10	15030984	15031076	1	LDrepeatLR_classA_rpt	522.4	15030984-15031076	PF00057	http://pfam.xfam.org/family/PF00057
10	15031297	15031749	1	LDrepeatLR_classA_rpt	522.4	15031297-15031309,15031652-15031749	PF00057	http://pfam.xfam.org/family/PF00057
10	15032121	15032216	1	LDrepeatLR_classA_rpt	522.4	15032121-15032216	PF00057	http://pfam.xfam.org/family/PF00057
10	15042590	15042700	1	LDrepeatLR_classA_rpt	522.4	15042590-15042700	PF00057	http://pfam.xfam.org/family/PF00057
10	15038019	15038111	1	LDrepeatLR_classA_rpt	522.4	15038019-15038111	PF00057	http://pfam.xfam.org/family/PF00057
10	15031906	15032099	1	LDrepeatLR_classA_rpt	522.4	15031906-15031918,15032002-15032099	PF00057	http://pfam.xfam.org/family/PF00057
10	15034661	15034858	1	LDrepeatLR_classA_rpt	522.4	15034661-15034673,15034761-15034858	PF00057	http://pfam.xfam.org/family/PF00057
