#>P	ENSG00000139304	ENST00000614701	ENSP00000482885	12	80444346	80679020	1	protein tyrosine phosphatase, receptor type Q [Source:HGNC Symbol;Acc:HGNC:9679]
#>E	ENSE00002393852,ENSE00003646365,ENSE00003788995,ENSE00003747080,ENSE00003750199,ENSE00003733715,ENSE00003744783,ENSE00003725342,ENSE00003720940,ENSE00003734592,ENSE00003717773,ENSE00003745502,ENSE00003721170,ENSE00003712899,ENSE00003724620,ENSE00003729642,ENSE00003727932,ENSE00003733228,ENSE00003740375,ENSE00003749353,ENSE00003746250,ENSE00003722590,ENSE00003725469,ENSE00003734525,ENSE00003740469,ENSE00003744516,ENSE00003749601,ENSE00003749360,ENSE00003753846,ENSE00003729608,ENSE00003743652,ENSE00003715617,ENSE00003731246,ENSE00003742506,ENSE00001610375,ENSE00003741942,ENSE00003501628,ENSE00001647756,ENSE00003712989,ENSE00003752575,ENSE00003737458,ENSE00003740152,ENSE00003723468,ENSE00003747652,ENSE00003721656	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	80444346-80444399,80444741-80444849,80445491-80445717,80457575-80457644,80459284-80459483,80460653-80460902,80468710-80468838,80472105-80472251,80484433-80484605,80493275-80493455,80494933-80495094,80495192-80495371,80495999-80496106,80496250-80496531,80506024-80506206,80506569-80506670,80510323-80510443,80534015-80534175,80534892-80535037,80539776-80539944,80541555-80541845,80542089-80542364,80542730-80542881,80546556-80546697,80549465-80549734,80588129-80588452,80605059-80605180,80610439-80610625,80613592-80613836,80616200-80616266,80619384-80619542,80620154-80620376,80622061-80622134,80632192-80632291,80634945-80635073,80648897-80648923,80649588-80649669,80652744-80652834,80657985-80658061,80669007-80669141,80669339-80669464,80670344-80670492,80673169-80673304,80678602-80678725,80678986-80679023
12	80652798	80678634	1	PTPase_domain	253.7	80652798-80652834,80657985-80658061,80669007-80669141,80669339-80669464,80670344-80670492,80673169-80673304,80678602-80678634	PF00102	http://pfam.sanger.ac.uk/family?acc=PF00102
12	80534900	80539910	1	FN3_dom	513.9	80534900-80535037,80539776-80539910	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
12	80445508	80457613	1	FN3_dom	513.9	80445508-80445717,80457575-80457613	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
12	80542741	80546657	1	FN3_dom	513.9	80542741-80542881,80546556-80546657	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
12	80605070	80610561	1	FN3_dom	513.9	80605070-80605180,80610439-80610561	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
12	80588137	80588421	1	FN3_dom	513.9	80588137-80588421	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
12	80613600	80616232	1	FN3_dom	513.9	80613600-80613836,80616200-80616232	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
12	80506032	80506639	1	FN3_dom	513.9	80506032-80506206,80506569-80506639	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
12	80542115	80542336	1	FN3_dom	513.9	80542115-80542336	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
12	80495206	80496066	1	FN3_dom	513.9	80495206-80495371,80495999-80496066	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
12	80549476	80549703	1	FN3_dom	513.9	80549476-80549703	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
12	80496258	80496488	1	FN3_dom	513.9	80496258-80496488	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
12	80510331	80534135	1	FN3_dom	513.9	80510331-80510443,80534015-80534135	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
