#>P	ENSDARG00000075476	ENSDART00000141520	ENSDARP00000118321	22	9081316	9101845	1	si:ch211-213a13.7 [Source:ZFIN;Acc:ZDB-GENE-050208-473]
#>E	ENSDARE00001119745,ENSDARE00001109990,ENSDARE00001043430,ENSDARE00000590573,ENSDARE00001095156,ENSDARE00001103129,ENSDARE00001082843,ENSDARE00001097792,ENSDARE00001094669,ENSDARE00001099714,ENSDARE00001077325,ENSDARE00001077381,ENSDARE00001087966,ENSDARE00001097871,ENSDARE00001095080,ENSDARE00001093066,ENSDARE00001077601,ENSDARE00001081677,ENSDARE00001033090,ENSDARE00001083732,ENSDARE00001084083,ENSDARE00001081533,ENSDARE00001038199,ENSDARE00000990704	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	9081316-9081429,9083830-9083922,9084445-9084532,9084755-9084950,9085032-9086847,9090103-9090273,9090373-9090546,9090680-9090850,9091131-9091295,9091681-9091854,9094016-9094210,9094342-9094512,9094793-9094966,9095065-9095235,9096952-9097125,9097238-9097411,9097573-9097746,9097843-9098016,9098171-9098341,9099703-9099876,9100252-9100425,9100569-9100742,9100826-9100999,9101675-9101848
22	9085054	9085272	1	NATCH-assoc	94.9	9085054-9085272	PF14484	http://pfam.xfam.org/family/PF14484
22	9099775	9099840	1	Leu-rich_rpt	174	9099775-9099840	PF13516	http://pfam.xfam.org/family/PF13516
22	9100895	9100957	1	Leu-rich_rpt	174	9100895-9100957	PF13516	http://pfam.xfam.org/family/PF13516
22	9090256	9090420	1	Leu-rich_rpt	174	9090256-9090273,9090373-9090420	PF13516	http://pfam.xfam.org/family/PF13516
22	9091275	9091731	1	Leu-rich_rpt	174	9091275-9091295,9091681-9091731	PF13516	http://pfam.xfam.org/family/PF13516
22	9091188	9091256	1	Leu-rich_rpt	174	9091188-9091256	PF13516	http://pfam.xfam.org/family/PF13516
22	9090169	9090234	1	Leu-rich_rpt	174	9090169-9090234	PF13516	http://pfam.xfam.org/family/PF13516
22	9095221	9097002	1	Leu-rich_rpt	174	9095221-9095235,9096952-9097002	PF13516	http://pfam.xfam.org/family/PF13516
22	9091837	9094066	1	Leu-rich_rpt	174	9091837-9091854,9094016-9094066	PF13516	http://pfam.xfam.org/family/PF13516
22	9100321	9100386	1	Leu-rich_rpt	174	9100321-9100386	PF13516	http://pfam.xfam.org/family/PF13516
22	9097726	9097893	1	Leu-rich_rpt	174	9097726-9097746,9097843-9097893	PF13516	http://pfam.xfam.org/family/PF13516
22	9097642	9097707	1	Leu-rich_rpt	174	9097642-9097707	PF13516	http://pfam.xfam.org/family/PF13516
