#>P	ENSG00000167637	ENST00000618787	ENSP00000484852	19	43833505	43848638	1	zinc finger protein 283 [Source:HGNC Symbol;Acc:HGNC:13077]
#>E	ENSE00003756669,ENSE00003481483,ENSE00003784573,ENSE00003751292	0,0,0,0	43833505-43833626,43835505-43835592,43837053-43837179,43846939-43848641
19	43837056	43846940	1	KRAB	90.4	43837056-43837179,43846939-43846940	PF01352	http://pfam.sanger.ac.uk/family?acc=PF01352
19	43848144	43848206	1	Znf_C2H2	128.3	43848144-43848206	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	43848060	43848116	1	Znf_C2H2	128.3	43848060-43848116	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	43847892	43847960	1	Znf_C2H2	128.3	43847892-43847960	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	43848396	43848455	1	Znf_C2H2	128.3	43848396-43848455	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	43847388	43847456	1	Znf_C2H2	128.3	43847388-43847456	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	43847976	43848044	1	Znf_C2H2	128.3	43847976-43848044	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	43848312	43848374	1	Znf_C2H2	128.3	43848312-43848374	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	43847808	43847876	1	Znf_C2H2	128.3	43847808-43847876	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	43847640	43847708	1	Znf_C2H2	194.2	43847640-43847708	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	43848228	43848296	1	Znf_C2H2	194.2	43848228-43848296	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	43847472	43847540	1	Znf_C2H2	194.2	43847472-43847540	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
