#>P	ENSDARG00000012060	ENSDART00000090825	ENSDARP00000085258	19	24905361	24929059	-1	thrombospondin 3b [Source:ZFIN;Acc:ZDB-GENE-060503-84]
#>E	ENSDARE00001024528,ENSDARE00000167648,ENSDARE00000167656,ENSDARE00000377778,ENSDARE00000945772,ENSDARE00000154026,ENSDARE00000100863,ENSDARE00000130706,ENSDARE00000943895,ENSDARE00000377779,ENSDARE00000264670,ENSDARE00000037584,ENSDARE00000141107,ENSDARE00000134270,ENSDARE00000750664,ENSDARE00000750666,ENSDARE00000041730,ENSDARE00000890372,ENSDARE00000156897,ENSDARE00000169017,ENSDARE00000349623,ENSDARE00000361037,ENSDARE00000996019	0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0	24905358-24905413,24905535-24905674,24907509-24907681,24908465-24908661,24909036-24909084,24910715-24910893,24911131-24911324,24911625-24911677,24913663-24913781,24913864-24914023,24915368-24915475,24915966-24916076,24916828-24916980,24917076-24917150,24917317-24917426,24917936-24918043,24918128-24918179,24919531-24919613,24919732-24919758,24920346-24920448,24923673-24923926,24926119-24926325,24928981-24929059
19	24905403	24910747	-1	Thrombospondin_C	349.9	24905403-24905413,24905535-24905674,24907509-24907681,24908465-24908661,24909036-24909084,24910715-24910747	PF05735	http://pfam.sanger.ac.uk/family?acc=PF05735
19	24918042	24919611	-1	Thbs/COMP_coiled-coil	85.3	24918042-24918043,24918128-24918179,24919531-24919611	PF11598	http://pfam.sanger.ac.uk/family?acc=PF11598
19	24915404	24915442	-1	Thrombospondin_3-like_rpt	12.0	24915404-24915442	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
19	24914015	24915403	-1	Thrombospondin_3-like_rpt	14.4	24914015-24914023,24915368-24915403	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
19	24913943	24913987	-1	Thrombospondin_3-like_rpt	6.2	24913943-24913987	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
19	24913883	24913918	-1	Thrombospondin_3-like_rpt	5.1	24913883-24913918	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
19	24913753	24913882	-1	Thrombospondin_3-like_rpt	20.7	24913753-24913781,24913864-24913882	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
19	24913693	24913731	-1	Thrombospondin_3-like_rpt	13.7	24913693-24913731	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
19	24911639	24911674	-1	Thrombospondin_3-like_rpt	10.5	24911639-24911674	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
19	24911285	24911632	-1	Thrombospondin_3-like_rpt	13.2	24911285-24911324,24911625-24911632	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
19	24911225	24911260	-1	Thrombospondin_3-like_rpt	12.3	24911225-24911260	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
19	24910868	24911140	-1	Thrombospondin_3-like_rpt	12.3	24910868-24910893,24911131-24911140	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
19	24910820	24910867	-1	Thrombospondin_3-like_rpt	15.7	24910820-24910867	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
19	24916933	24917141	-1	EGF-like_Ca-bd_dom	36.7	24916933-24916980,24917076-24917141	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
