17	52275362	52279106	De-COase2_N	281.0	+	52275362	52279106	83,88,95	5	137,172,216,83,95	0,398,2156,3113,3649	PF02784	http://pfam.sanger.ac.uk/family?acc=PF02784
17	52279113	52281491	De-COase2_C	119.0	+	52279113	52281491	83,88,95	3	60,115,197	0,323,2181	PF00278	http://pfam.sanger.ac.uk/family?acc=PF00278
17	52275335	52275409	Orn_de-COase	709.0	+	52275335	52275409	83,88,95	1	74	0	PR01182	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01182&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01182
17	52281426	52281467	Orn/DAP/Arg_de-COase	395.0	+	52281426	52281467	83,88,95	1	41	0	PR01179	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01179&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01179
17	52279071	52279130	Orn/DAP/Arg_de-COase	484.0	+	52279071	52279130	83,88,95	1	59	0	PR01179	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01179&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01179
17	52277630	52277671	Orn/DAP/Arg_de-COase	392.0	+	52277630	52277671	83,88,95	1	41	0	PR01179	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01179&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01179
17	52275479	52275777	Orn/DAP/Arg_de-COase	349.0	+	52275479	52275777	83,88,95	2	20,17	0,281	PR01179	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01179&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01179
17	52275419	52275475	Orn/DAP/Arg_de-COase	456.0	+	52275419	52275475	83,88,95	1	56	0	PR01179	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01179&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01179
17	52281387	52281428	Orn_de-COase	544.0	+	52281387	52281428	83,88,95	1	41	0	PR01182	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01182&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01182
17	52281327	52281359	Orn_de-COase	567.0	+	52281327	52281359	83,88,95	1	32	0	PR01182	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01182&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01182
17	52279483	52279524	Orn_de-COase	678.0	+	52279483	52279524	83,88,95	1	41	0	PR01182	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01182&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01182
17	52275895	52277548	Orn_de-COase	593.0	+	52275895	52277548	83,88,95	2	37,30	0,1623	PR01182	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01182&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01182
17	52275805	52275879	Orn_de-COase	773.0	+	52275805	52275879	83,88,95	1	74	0	PR01182	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01182&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01182
17	52275413	52275496	Orn_de-COase	992.0	+	52275413	52275496	83,88,95	1	83	0	PR01182	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01182&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01182
17	52278547	52283293	Ala_racemase/Decarboxylase_C	0.0	+	52278547	52283293	83,88,95	5	11,162,115,214,24	0,464,889,2747,4722	SSF50621	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF50621
