2	34778942	34787366	Peptidase_M43	43.3	-	34778942	34787366	83,88,95	3	8328,-293,8366	0,1392,58	PF05572	http://pfam.sanger.ac.uk/family?acc=PF05572
2	34817100	34817183	Notch_dom	28.5	-	34817100	34817183	83,88,95	1	83	0	PF00066	http://pfam.sanger.ac.uk/family?acc=PF00066
2	34712350	34727555	Notch_dom	28.3	-	34712350	34727555	83,88,95	2	15182,15131	0,74	PF00066	http://pfam.sanger.ac.uk/family?acc=PF00066
2	34732915	34737846	Sushi_SCR_CCP	23.6	-	34732915	34737846	83,88,95	2	4789,4877	0,54	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
2	34732681	34732902	Sushi_SCR_CCP	17.7	-	34732681	34732902	83,88,95	2	120,177	0,44	PF00084	http://pfam.sanger.ac.uk/family?acc=PF00084
2	34754392	34754699	Myxo_disulph_rpt	50.6	-	34754392	34754699	83,88,95	2	282,226	0,81	TIGR02232	http://www.ebi.ac.uk/interpro/signature/TIGR02232
2	34742102	34745640	Sushi_SCR_CCP	20.7	-	34742102	34745640	83,88,95	2	3407,3485	0,53	SM00032	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00032
2	34737856	34742089	Sushi_SCR_CCP	36.4	-	34737856	34742089	83,88,95	2	4122,4172	0,61	SM00032	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00032
2	34732915	34737846	Sushi_SCR_CCP	33.7	-	34732915	34737846	83,88,95	2	4789,4877	0,54	SM00032	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00032
2	34732672	34732902	Sushi_SCR_CCP	19.3	-	34732672	34732902	83,88,95	2	129,177	0,53	SM00032	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00032
2	34712350	34727570	Notch_dom	33.2	-	34712350	34727570	83,88,95	2	15182,15146	0,74	SM00004	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00004
2	34817097	34817225	Notch_dom	26.2	-	34817097	34817225	83,88,95	1	128	0	SM00004	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00004
2	34817619	34822117	LamG-like	53.2	-	34817619	34822117	83,88,95	2	4432,4110	0,388	SM00560	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00560
2	34737850	34742095	Sushi_SCR_CCP	8.624	-	34737850	34742095	83,88,95	2	4128,4178	0,67	PS50923	http://www.expasy.ch/prosite/PS50923
2	34732666	34732908	Sushi_SCR_CCP	7.495	-	34732666	34732908	83,88,95	2	135,183	0,59	PS50923	http://www.expasy.ch/prosite/PS50923
2	34817499	34822207	ConA-like_lec_gl_sf	0.0	-	34817499	34822207	83,88,95	2	4552,4200	0,508	SSF49899	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF49899
2	34737853	34742095	Sushi_SCR_CCP	0.0	-	34737853	34742095	83,88,95	2	4125,4178	0,64	SSF57535	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF57535
2	34732669	34732908	Sushi_SCR_CCP	0.0	-	34732669	34732908	83,88,95	2	132,183	0,56	SSF57535	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF57535
2	34732915	34737855	Sushi_SCR_CCP	0.0	-	34732915	34737855	83,88,95	2	4789,4886	0,54	SSF57535	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF57535
2	34742078	34745643	Sushi_SCR_CCP	0.0	-	34742078	34745643	83,88,95	2	3431,3488	0,77	SSF57535	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF57535
2	34754700	34778935	Fibronectin_type3	0.0	-	34754700	34778935	83,88,95	5	24108,-121,-182,-303,24133	0,23382,12675,8875,102	SSF49265	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF49265
2	34817097	34817204	Notch_dom	0.0	-	34817097	34817204	83,88,95	1	107	0	SSF90193	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF90193
