#>P	ENSDARG00000021948	ENSDART00000131729	ENSDARP00000114191	5	27962045	28006699	-1	tenascin C [Source:ZFIN;Acc:ZDB-GENE-980526-104]
#>E	ENSDARE00001000867,ENSDARE00001110711,ENSDARE00001122708,ENSDARE00001113597,ENSDARE00001111218,ENSDARE00001121846,ENSDARE00001126998,ENSDARE00001106849,ENSDARE00001131594,ENSDARE00001108024,ENSDARE00000023174,ENSDARE00000129730,ENSDARE00000565683,ENSDARE00000565699,ENSDARE00000565713,ENSDARE00000565725,ENSDARE00000565738,ENSDARE00000565749,ENSDARE00000565757,ENSDARE00000565765,ENSDARE00000779478,ENSDARE00001003943	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	27962042-27962152,27962252-27962415,27964543-27964704,27964835-27964931,27967591-27967742,27967872-27968004,27968107-27968237,27970756-27970899,27970980-27971099,27972524-27972667,27975305-27975427,27976112-27976384,27983190-27983465,27987190-27987453,27989785-27989874,27992200-27992385,27995300-27995569,28000392-28000545,28001207-28001322,28001402-28001665,28002894-28004486,28006231-28006699
5	27962084	27967722	-1	Fibrinogen_a/b/g_C_dom	275.5	27962084-27962152,27962252-27962415,27964543-27964704,27964835-27964931,27967591-27967722	PF00147	http://pfam.xfam.org/family/PF00147
5	28001448	28001663	-1	FN3_dom	431.2	28001448-28001663	PF00041	http://pfam.xfam.org/family/PF00041
5	27989822	27992377	-1	FN3_dom	431.2	27989822-27989874,27992200-27992377	PF00041	http://pfam.xfam.org/family/PF00041
5	27987227	27987448	-1	FN3_dom	431.2	27987227-27987448	PF00041	http://pfam.xfam.org/family/PF00041
5	28000414	28001317	-1	FN3_dom	431.2	28000414-28000545,28001207-28001317	PF00041	http://pfam.xfam.org/family/PF00041
5	27967912	27968232	-1	FN3_dom	431.2	27967912-27968004,27968107-27968232	PF00041	http://pfam.xfam.org/family/PF00041
5	27976167	27976373	-1	FN3_dom	431.2	27976167-27976373	PF00041	http://pfam.xfam.org/family/PF00041
5	27970793	27971094	-1	FN3_dom	431.2	27970793-27970899,27970980-27971094	PF00041	http://pfam.xfam.org/family/PF00041
5	27983230	27983454	-1	FN3_dom	431.2	27983230-27983454	PF00041	http://pfam.xfam.org/family/PF00041
5	27995337	27995564	-1	FN3_dom	431.2	27995337-27995564	PF00041	http://pfam.xfam.org/family/PF00041
5	27972552	27975419	-1	FN3_dom	431.2	27972552-27972667,27975305-27975419	PF00041	http://pfam.xfam.org/family/PF00041
5	28003831	28003869	-1	EGF-like_CS	90.1	28003831-28003869	PF12661	http://pfam.xfam.org/family/PF12661
5	28002901	28002939	-1	EGF-like_CS	90.1	28002901-28002939	PF12661	http://pfam.xfam.org/family/PF12661
5	28004389	28004424	-1	EGF-like_CS	90.1	28004389-28004424	PF12661	http://pfam.xfam.org/family/PF12661
5	28003087	28003167	-1	EGF_extracell	186.3	28003087-28003167	PF07974	http://pfam.xfam.org/family/PF07974
