#>P	ENSG00000100285	ENST00000310624	ENSP00000311997	22	29480263	29490700	1	neurofilament heavy polypeptide [Source:HGNC Symbol;Acc:HGNC:7737]
#>E	ENSE00001299990,ENSE00000652064,ENSE00001305244,ENSE00001326961	1,1,1,1	29480263-29481145,29483375-29483574,29485723-29485847,29488849-29490703
22	29480548	29488876	1	IF	335.5	29480548-29481145,29483375-29483574,29485723-29485847,29488849-29488876	PF00038	http://pfam.sanger.ac.uk/family?acc=PF00038
22	29489348	29489428	1	DUF1388	194	29489348-29489428	PF07142	http://pfam.sanger.ac.uk/family?acc=PF07142
22	29489780	29489866	1	DUF1388	194	29489780-29489866	PF07142	http://pfam.sanger.ac.uk/family?acc=PF07142
22	29489654	29489740	1	DUF1388	194	29489654-29489740	PF07142	http://pfam.sanger.ac.uk/family?acc=PF07142
22	29489570	29489656	1	DUF1388	194	29489570-29489656	PF07142	http://pfam.sanger.ac.uk/family?acc=PF07142
22	29489408	29489467	1	DUF1388	194	29489408-29489467	PF07142	http://pfam.sanger.ac.uk/family?acc=PF07142
22	29489426	29489512	1	DUF1388	194	29489426-29489512	PF07142	http://pfam.sanger.ac.uk/family?acc=PF07142
22	29489696	29489782	1	DUF1388	194	29489696-29489782	PF07142	http://pfam.sanger.ac.uk/family?acc=PF07142
22	29489738	29489824	1	DUF1388	194	29489738-29489824	PF07142	http://pfam.sanger.ac.uk/family?acc=PF07142
22	29489612	29489698	1	DUF1388	194	29489612-29489698	PF07142	http://pfam.sanger.ac.uk/family?acc=PF07142
22	29489510	29489569	1	DUF1388	194	29489510-29489569	PF07142	http://pfam.sanger.ac.uk/family?acc=PF07142
