#>P	WBGene00004855	R31.1a	R31.1a	V	11899564	11916138	1	SMAll  [Source:RefSeq peptide;Acc:NP_741632]
#>E	R31.1a.e1,R31.1a.e2,R31.1a.e3,R31.1a.e4,R31.1a.e5,R31.1a.e6,R31.1a.e7,R31.1a.e8,R31.1a.e9,R31.1a.e10,R31.1a.e11,R31.1a.e12,R31.1a.e13,R31.1a.e14,R31.1a.e15,R31.1a.e16,R31.1a.e17,R31.1a.e18	0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0	11899564-11899630,11901108-11901370,11901996-11902175,11902785-11903069,11903115-11903498,11903545-11905043,11905092-11907249,11907299-11908854,11908906-11909994,11910199-11910357,11910406-11912032,11912081-11913992,11914065-11914580,11914737-11914883,11915030-11915359,11915717-11915775,11915824-11916040,11916089-11916141
V	11905231	11905353	1	SH3_2	26.3	11905231-11905353	PF07653	http://pfam.sanger.ac.uk/family?acc=PF07653
V	11903145	11903435	1	CH-domain	133.2	11903145-11903435	PF00307	http://pfam.sanger.ac.uk/family?acc=PF00307
V	11902131	11903033	1	CH-domain	133.2	11902131-11902175,11902785-11903033	PF00307	http://pfam.sanger.ac.uk/family?acc=PF00307
V	11908406	11908714	1	Spectrin_repeat	1274.8	11908406-11908714	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11913224	11913532	1	Spectrin_repeat	1274.8	11913224-11913532	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11910623	11910931	1	Spectrin_repeat	1274.8	11910623-11910931	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11909735	11910247	1	Spectrin_repeat	1274.8	11909735-11909994,11910199-11910247	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11907109	11907445	1	Spectrin_repeat	1274.8	11907109-11907249,11907299-11907445	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11912894	11913214	1	Spectrin_repeat	1274.8	11912894-11913214	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11910260	11910613	1	Spectrin_repeat	1274.8	11910260-11910357,11910406-11910613	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11910962	11911252	1	Spectrin_repeat	1274.8	11910962-11911252	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11906764	11907075	1	Spectrin_repeat	1274.8	11906764-11907075	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11906140	11906436	1	Spectrin_repeat	1274.8	11906140-11906436	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11906446	11906754	1	Spectrin_repeat	1274.8	11906446-11906754	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11909093	11909401	1	Spectrin_repeat	1274.8	11909093-11909401	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11911892	11912251	1	Spectrin_repeat	1274.8	11911892-11912032,11912081-11912251	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11907452	11907748	1	Spectrin_repeat	1274.8	11907452-11907748	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11911577	11911879	1	Spectrin_repeat	1274.8	11911577-11911879	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11907776	11908081	1	Spectrin_repeat	1274.8	11907776-11908081	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11909420	11909728	1	Spectrin_repeat	1274.8	11909420-11909728	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11908724	11909071	1	Spectrin_repeat	1274.8	11908724-11908854,11908906-11909071	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11904262	11904561	1	Spectrin_repeat	1274.8	11904262-11904561	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11908091	11908393	1	Spectrin_repeat	1274.8	11908091-11908393	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11903935	11904240	1	Spectrin_repeat	1274.8	11903935-11904240	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11912576	11912884	1	Spectrin_repeat	1274.8	11912576-11912884	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11911259	11911567	1	Spectrin_repeat	1274.8	11911259-11911567	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11904886	11905170	1	Spectrin_repeat	1274.8	11904886-11905043,11905092-11905170	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11905531	11905830	1	Spectrin_repeat	1274.8	11905531-11905830	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11912261	11912563	1	Spectrin_repeat	1274.8	11912261-11912563	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
V	11904574	11904876	1	Spectrin_repeat	1274.8	11904574-11904876	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
