5	46432789	46448115	FBPase_class-1/SBPase	426.0	-	46432789	46448115	83,88,95	7	15190,-162,-92,-140,-137,-119,15150	0,13623,12696,11602,7733,5187,176	PF00316	http://pfam.sanger.ac.uk/family?acc=PF00316
5	46446394	46448043	FBPtase	424.0	-	46446394	46448043	83,88,95	2	1585,1631	0,18	PR00115	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00115&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00115
5	46446286	46446366	FBPtase	504.0	-	46446286	46446366	83,88,95	1	80	0	PR00115	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00115&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00115
5	46444290	46444361	FBPtase	640.0	-	46444290	46444361	83,88,95	1	71	0	PR00115	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00115&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00115
5	46440469	46444268	FBPtase	507.0	-	46440469	46444268	83,88,95	2	3782,3746	0,53	PR00115	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00115&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00115
5	46437971	46440462	FBPtase	437.0	-	46437971	46440462	83,88,95	2	2414,2486	0,5	PR00115	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00115&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00115
5	46432792	46432869	FBPtase	590.0	-	46432792	46432869	83,88,95	1	77	0	PR00115	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00115&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00115
5	46446325	46446372	SBPase	222.0	-	46446325	46446372	83,88,95	1	47	0	PR01958	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01958&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01958
5	46444302	46444358	SBPase	201.0	-	46444302	46444358	83,88,95	1	56	0	PR01958	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01958&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01958
5	46437893	46437955	SBPase	264.0	-	46437893	46437955	83,88,95	1	62	0	PR01958	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01958&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01958
5	46432804	46432878	SBPase	238.0	-	46432804	46432878	83,88,95	1	74	0	PR01958	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01958&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01958
