6	8656496	8662121	SGL	287.8	-	8656496	8662121	83,88,95	5	5508,-179,-206,-131,5531	0,4881,3013,2196,94	PF08450	http://pfam.sanger.ac.uk/family?acc=PF08450
6	8658634	8658690	Regucalcin	913.0	-	8658634	8658690	83,88,95	1	56	0	PR01791	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01791&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01791
6	8659442	8659483	Regucalcin	302.0	-	8659442	8659483	83,88,95	1	41	0	PR01791	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01791&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01791
6	8656496	8656552	SMP-30	576.0	-	8656496	8656552	83,88,95	1	56	0	PR01790	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01790&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01790
6	8658598	8658651	SMP-30	698.0	-	8658598	8658651	83,88,95	1	53	0	PR01790	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01790&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01790
6	8659319	8659381	SMP-30	525.0	-	8659319	8659381	83,88,95	1	62	0	PR01790	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01790&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01790
6	8659382	8659450	SMP-30	513.0	-	8659382	8659450	83,88,95	1	68	0	PR01790	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01790&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01790
6	8661202	8661267	SMP-30	585.0	-	8661202	8661267	83,88,95	1	65	0	PR01790	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01790&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01790
6	8662065	8662118	SMP-30	535.0	-	8662065	8662118	83,88,95	1	53	0	PR01790	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01790&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01790
6	8656332	8656462	Regucalcin	693.0	-	8656332	8656462	83,88,95	2	104,107	0,23	PR01791	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01791&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01791
6	8656562	8658573	Regucalcin	679.0	-	8656562	8658573	83,88,95	2	1999,1983	0,28	PR01791	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01791&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01791
