#>P	ENSDARG00000006257	ENSDART00000172107	ENSDARP00000134555	10	15297187	15346163	1	very low density lipoprotein receptor [Source:ZFIN;Acc:ZDB-GENE-040426-803]
#>E	ENSDARE00001190041,ENSDARE00001118048,ENSDARE00001117548,ENSDARE00001126559,ENSDARE00000014062,ENSDARE00001122106,ENSDARE00000102999,ENSDARE00000724930,ENSDARE00000724925,ENSDARE00000724917,ENSDARE00000724911,ENSDARE00000724908,ENSDARE00000724904,ENSDARE00000724902,ENSDARE00000724895,ENSDARE00001158979,ENSDARE00001166020,ENSDARE00001131543,ENSDARE00001129225,ENSDARE00001202777	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	15297187-15297256,15311328-15311447,15319352-15319474,15324648-15324770,15327477-15327848,15329271-15329393,15329729-15329851,15333001-15333120,15333247-15333372,15336988-15337159,15337686-15337904,15338013-15338131,15339827-15339966,15340295-15340436,15340607-15340756,15340949-15341011,15341960-15342001,15342374-15342454,15345840-15346009,15346131-15346166
10	15333246	15333362	1	EGF-like_Ca-bd_dom	30.7	15333246-15333362	PF07645	http://pfam.xfam.org/family/PF07645
10	15337777	15337896	1	LDLR_classB_rpt	182.8	15337777-15337896	PF00058	http://pfam.xfam.org/family/PF00058
10	15337903	15339828	1	LDLR_classB_rpt	182.8	15337903-15337904,15338013-15338131,15339827-15339828	PF00058	http://pfam.xfam.org/family/PF00058
10	15340295	15340417	1	LDLR_classB_rpt	182.8	15340295-15340417	PF00058	http://pfam.xfam.org/family/PF00058
10	15339838	15339963	1	LDLR_classB_rpt	182.8	15339838-15339963	PF00058	http://pfam.xfam.org/family/PF00058
10	15329734	15329850	1	LDrepeatLR_classA_rpt	328.9	15329734-15329850	PF00057	http://pfam.xfam.org/family/PF00057
10	15329279	15329386	1	LDrepeatLR_classA_rpt	328.9	15329279-15329386	PF00057	http://pfam.xfam.org/family/PF00057
10	15324653	15324769	1	LDrepeatLR_classA_rpt	328.9	15324653-15324769	PF00057	http://pfam.xfam.org/family/PF00057
10	15327740	15327847	1	LDrepeatLR_classA_rpt	328.9	15327740-15327847	PF00057	http://pfam.xfam.org/family/PF00057
10	15327485	15327592	1	LDrepeatLR_classA_rpt	328.9	15327485-15327592	PF00057	http://pfam.xfam.org/family/PF00057
10	15327602	15327715	1	LDrepeatLR_classA_rpt	328.9	15327602-15327715	PF00057	http://pfam.xfam.org/family/PF00057
10	15311339	15311446	1	LDrepeatLR_classA_rpt	328.9	15311339-15311446	PF00057	http://pfam.xfam.org/family/PF00057
10	15319357	15319473	1	LDrepeatLR_classA_rpt	328.9	15319357-15319473	PF00057	http://pfam.xfam.org/family/PF00057
