#>P	ENSDARG00000067859	ENSDART00000097773	ENSDARP00000088544	24	40139116	40283611	1	subcommissural organ spondin [Source:ZFIN;Acc:ZDB-GENE-051114-1]
#>E	ENSDARE00000764779,ENSDARE00000503607,ENSDARE00000503605,ENSDARE00001186413,ENSDARE00000503602,ENSDARE00000503601,ENSDARE00000503600,ENSDARE00000503599,ENSDARE00000228644,ENSDARE00000228629,ENSDARE00000148294,ENSDARE00000228610,ENSDARE00000503595,ENSDARE00000228599,ENSDARE00000094718,ENSDARE00000157757,ENSDARE00000503593,ENSDARE00000781423,ENSDARE00000818374,ENSDARE00000781332,ENSDARE00000764749,ENSDARE00000764747,ENSDARE00000764746,ENSDARE00000764744,ENSDARE00000764742,ENSDARE00000764740,ENSDARE00000764710,ENSDARE00000764708,ENSDARE00000764732,ENSDARE00000764728,ENSDARE00000764725,ENSDARE00000764698,ENSDARE00000764697,ENSDARE00000764694,ENSDARE00001175621,ENSDARE00000764693,ENSDARE00000764692,ENSDARE00000894998,ENSDARE00000764689,ENSDARE00000764686,ENSDARE00000807352,ENSDARE00000851078,ENSDARE00000797153,ENSDARE00000785927,ENSDARE00000793229,ENSDARE00000802024,ENSDARE00000847446,ENSDARE00000776793,ENSDARE00000798407,ENSDARE00000865853,ENSDARE00000797066,ENSDARE00000858075,ENSDARE00000816124,ENSDARE00000805238,ENSDARE00001220415,ENSDARE00000866870,ENSDARE00000761323,ENSDARE00000812128,ENSDARE00000837133,ENSDARE00000841873,ENSDARE00000789877,ENSDARE00000863312,ENSDARE00000837942,ENSDARE00000829585,ENSDARE00001161960,ENSDARE00000786583,ENSDARE00000855618,ENSDARE00000869305,ENSDARE00000695138,ENSDARE00000695137,ENSDARE00000695135,ENSDARE00000695134,ENSDARE00000695133,ENSDARE00000790938,ENSDARE00000695131,ENSDARE00000695130,ENSDARE00000695129,ENSDARE00000695128,ENSDARE00000695126,ENSDARE00000948506,ENSDARE00000695125,ENSDARE00001153601,ENSDARE00000695124,ENSDARE00000695122,ENSDARE00000695119,ENSDARE00000695116,ENSDARE00000695115,ENSDARE00000695113,ENSDARE00000695112,ENSDARE00000695111,ENSDARE00000695107,ENSDARE00000813311,ENSDARE00000695103,ENSDARE00000695102,ENSDARE00000695101,ENSDARE00000695098,ENSDARE00001160681,ENSDARE00001162691,ENSDARE00001178282,ENSDARE00001210887,ENSDARE00001204559,ENSDARE00001150191,ENSDARE00001223429,ENSDARE00001188895	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	40139116-40139168,40139714-40139923,40140448-40140530,40141412-40141585,40142141-40142364,40142881-40142983,40144622-40144780,40144901-40144989,40146160-40146285,40146360-40146516,40148515-40148755,40149013-40149154,40149534-40149657,40151146-40151318,40152249-40152467,40152881-40153046,40154230-40154482,40160352-40160535,40162064-40162158,40163174-40163430,40165514-40165648,40166111-40166313,40167361-40167488,40167945-40168054,40170899-40171048,40171183-40171276,40175676-40176085,40178039-40178275,40178496-40178726,40183608-40183708,40185959-40186166,40187948-40188100,40192587-40192721,40194541-40194693,40194762-40194793,40195051-40195205,40196799-40196995,40197254-40197367,40199395-40199643,40201625-40201752,40202213-40202354,40202825-40203051,40206897-40207107,40207290-40207442,40207573-40207743,40208066-40208230,40208387-40208581,40209404-40209526,40210503-40210632,40210723-40210848,40212620-40212714,40212869-40213042,40215779-40215949,40218480-40218628,40218989-40219004,40219177-40219223,40219228-40219444,40219566-40219621,40223132-40223226,40225386-40225435,40225628-40225785,40226469-40226621,40226704-40226808,40227300-40227393,40227473-40227479,40227497-40227543,40229417-40229617,40230932-40231102,40231508-40231714,40233814-40233910,40236199-40236311,40237777-40237866,40239066-40239232,40239423-40239568,40239677-40239897,40239998-40240033,40241081-40241245,40241500-40241705,40242050-40242151,40242156-40242219,40244671-40244783,40244959-40244980,40245178-40245424,40246571-40246693,40246820-40246866,40247790-40247966,40249898-40250065,40251734-40251864,40252220-40252372,40253484-40253620,40253707-40253782,40253967-40254021,40254221-40254382,40256086-40256202,40256480-40256618,40258793-40258989,40262627-40262754,40265929-40266074,40267376-40267422,40268287-40268507,40271548-40271643,40275643-40275703,40279207-40279337,40283456-40283614
24	40199445	40202338	1	FA58C	64.3	40199445-40199643,40201625-40201752,40202213-40202338	PF00754	http://pfam.sanger.ac.uk/family?acc=PF00754
24	40192619	40194605	1	TIL_dom	155.7	40192619-40192721,40194541-40194605	PF01826	http://pfam.sanger.ac.uk/family?acc=PF01826
24	40252250	40253528	1	TIL_dom	155.7	40252250-40252372,40253484-40253528	PF01826	http://pfam.sanger.ac.uk/family?acc=PF01826
24	40256124	40256541	1	TIL_dom	155.7	40256124-40256202,40256480-40256541	PF01826	http://pfam.sanger.ac.uk/family?acc=PF01826
24	40148523	40148690	1	TIL_dom	155.7	40148523-40148690	PF01826	http://pfam.sanger.ac.uk/family?acc=PF01826
24	40170907	40171211	1	TIL_dom	155.7	40170907-40171048,40171183-40171211	PF01826	http://pfam.sanger.ac.uk/family?acc=PF01826
24	40209460	40210564	1	TIL_dom	155.7	40209460-40209526,40210503-40210564	PF01826	http://pfam.sanger.ac.uk/family?acc=PF01826
24	40262629	40265967	1	TIL_dom	155.7	40262629-40262754,40265929-40265967	PF01826	http://pfam.sanger.ac.uk/family?acc=PF01826
24	40154238	40154417	1	TIL_dom	155.7	40154238-40154417	PF01826	http://pfam.sanger.ac.uk/family?acc=PF01826
24	40229434	40229601	1	TSP1_rpt	406.1	40229434-40229601	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
24	40241553	40241705	1	TSP1_rpt	406.1	40241553-40241705	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
24	40236263	40237862	1	TSP1_rpt	406.1	40236263-40236311,40237777-40237862	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
24	40245360	40245419	1	TSP1_rpt	406.1	40245360-40245419	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
24	40241098	40241241	1	TSP1_rpt	406.1	40241098-40241241	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
24	40187962	40188099	1	TSP1_rpt	406.1	40187962-40188099	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
24	40208401	40208553	1	TSP1_rpt	406.1	40208401-40208553	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
24	40239738	40239893	1	TSP1_rpt	406.1	40239738-40239893	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
24	40212889	40213038	1	TSP1_rpt	406.1	40212889-40213038	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
24	40254235	40254378	1	TSP1_rpt	406.1	40254235-40254378	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
24	40249909	40250061	1	TSP1_rpt	406.1	40249909-40250061	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
24	40208080	40208226	1	TSP1_rpt	406.1	40208080-40208226	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
24	40215793	40215945	1	TSP1_rpt	406.1	40215793-40215945	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
24	40210784	40212704	1	TSP1_rpt	406.1	40210784-40210848,40212620-40212704	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
24	40247813	40247962	1	TSP1_rpt	406.1	40247813-40247962	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
24	40225642	40225782	1	TSP1_rpt	406.1	40225642-40225782	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
24	40219240	40219392	1	TSP1_rpt	406.1	40219240-40219392	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
24	40242065	40242218	1	TSP1_rpt	406.1	40242065-40242151,40242156-40242218	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
24	40258848	40258985	1	TSP1_rpt	406.1	40258848-40258985	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
24	40230949	40231083	1	TSP1_rpt	406.1	40230949-40231083	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
24	40226487	40226612	1	TSP1_rpt	406.1	40226487-40226612	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
24	40186025	40186162	1	TSP1_rpt	406.1	40186025-40186162	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
24	40163226	40166217	1	VWF_type-D	282.9	40163226-40163430,40165514-40165648,40166111-40166217	PF00094	http://pfam.sanger.ac.uk/family?acc=PF00094
24	40149065	40152311	1	VWF_type-D	282.9	40149065-40149154,40149534-40149657,40151146-40151318,40152249-40152311	PF00094	http://pfam.sanger.ac.uk/family?acc=PF00094
24	40142212	40144923	1	VWF_type-D	282.9	40142212-40142364,40142881-40142983,40144622-40144780,40144901-40144923	PF00094	http://pfam.sanger.ac.uk/family?acc=PF00094
24	40175980	40178043	1	LDrepeatLR_classA_rpt	181.7	40175980-40176085,40178039-40178043	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
