#>P	ENSDARG00000089852	ENSDART00000143150	ENSDARP00000114958	4	44229991	44260165	-1	si:dkey-51d8.1 [Source:ZFIN;Acc:ZDB-GENE-081103-14]
#>E	ENSDARE00001088912,ENSDARE00001101975,ENSDARE00001099160,ENSDARE00001098295,ENSDARE00001081228,ENSDARE00001091894,ENSDARE00001066924,ENSDARE00001043993,ENSDARE00000996607,ENSDARE00001024955,ENSDARE00001047503,ENSDARE00001032537	0,0,0,0,0,0,0,0,0,0,0,0	44229988-44230514,44231041-44231087,44232278-44232451,44234578-44234751,44237211-44237384,44242330-44242503,44244967-44245140,44255412-44257191,44257739-44257934,44258515-44258599,44259181-44259288,44260122-44260165
4	44256953	44257171	-1	NATCH-assoc	99.9	44256953-44257171	PF14484	http://pfam.xfam.org/family/PF14484
4	44229994	44230353	-1	SPRY_dom	33	44229994-44230353	PF00622	http://pfam.xfam.org/family/PF00622
4	44230360	44230503	-1	PRY	71.9	44230360-44230503	PF13765	http://pfam.xfam.org/family/PF13765
4	44237339	44242349	-1	Leu-rich_rpt	74	44237339-44237384,44242330-44242349	PF13516	http://pfam.xfam.org/family/PF13516
4	44234619	44234687	-1	Leu-rich_rpt	74	44234619-44234687	PF13516	http://pfam.xfam.org/family/PF13516
4	44232406	44234597	-1	Leu-rich_rpt	74	44232406-44232451,44234578-44234597	PF13516	http://pfam.xfam.org/family/PF13516
4	44237252	44237320	-1	Leu-rich_rpt	74	44237252-44237320	PF13516	http://pfam.xfam.org/family/PF13516
4	44232319	44232384	-1	Leu-rich_rpt	74	44232319-44232384	PF13516	http://pfam.xfam.org/family/PF13516
4	44245008	44245076	-1	Leu-rich_rpt	74	44245008-44245076	PF13516	http://pfam.xfam.org/family/PF13516
4	44234706	44237230	-1	Leu-rich_rpt	74	44234706-44234751,44237211-44237230	PF13516	http://pfam.xfam.org/family/PF13516
4	44242371	44242439	-1	Leu-rich_rpt	74	44242371-44242439	PF13516	http://pfam.xfam.org/family/PF13516
4	44242458	44244986	-1	Leu-rich_rpt	74	44242458-44242503,44244967-44244986	PF13516	http://pfam.xfam.org/family/PF13516
