21	33815313	33817978	APC8	134.2	+	33815313	33817978	83,88,95	5	79,72,137,42,37	0,756,2287,2504,2628	PF04049	http://pfam.sanger.ac.uk/family?acc=PF04049
21	33831306	33835593	TPR_1	25.2	+	33831306	33835593	83,88,95	2	18,76	0,4211	PF00515	http://pfam.sanger.ac.uk/family?acc=PF00515
21	33835603	33836602	TPR_1	23.2	+	33835603	33836602	83,88,95	2	67,21	0,978	PF00515	http://pfam.sanger.ac.uk/family?acc=PF00515
21	33831303	33835596	TPR_repeat	30.4	+	33831303	33835596	83,88,95	2	21,79	0,4214	SM00028	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00028
21	33822612	33826698	TPR_repeat	8.9	+	33822612	33826698	83,88,95	2	45,55	0,4031	SM00028	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00028
21	33818030	33822329	TPR_repeat	2.5	+	33818030	33822329	83,88,95	2	16,84	0,4215	SM00028	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00028
21	33843206	33844757	TPR_repeat	11.7	+	33843206	33844757	83,88,95	2	95,5	0,1546	SM00028	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00028
21	33836811	33841692	TPR_repeat	8.0	+	33836811	33841692	83,88,95	2	65,35	0,4846	SM00028	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00028
21	33836609	33836810	TPR_repeat	24.7	+	33836609	33836810	83,88,95	2	91,9	0,192	SM00028	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00028
21	33835597	33836608	TPR_repeat	27.1	+	33835597	33836608	83,88,95	2	73,27	0,984	SM00028	http://smart.embl-heidelberg.de/smart/do_annotation.pl?DOMAIN=SM00028
21	33831303	33835596	TPR_repeat	9.824	+	33831303	33835596	83,88,95	2	21,79	0,4214	PS50005	http://www.expasy.ch/prosite/PS50005
21	33835597	33836608	TPR_repeat	10.177999999999999	+	33835597	33836608	83,88,95	2	73,27	0,984	PS50005	http://www.expasy.ch/prosite/PS50005
21	33822612	33841849	TPR-contain_dom	27.653000000000002	+	33822612	33841849	83,88,95	8	45,97,81,153,119,75,61,45	0,4031,8631,12905,13969,14189,19045,19192	PS50293	http://www.expasy.ch/prosite/PS50293
