#>P	ENSG00000178209	ENST00000322810	ENSP00000323856	8	143916180	143950706	-1	plectin [Source:HGNC Symbol;Acc:HGNC:9069]
#>E	ENSE00001244232,ENSE00001309447,ENSE00001243927,ENSE00001243936,ENSE00001243948,ENSE00001243956,ENSE00001319048,ENSE00001295392,ENSE00001315328,ENSE00001244001,ENSE00001244010,ENSE00001244019,ENSE00001244024,ENSE00001244034,ENSE00001244041,ENSE00001244050,ENSE00003791226,ENSE00001244070,ENSE00001301489,ENSE00001244123,ENSE00001244129,ENSE00001244136,ENSE00001244144,ENSE00001244151,ENSE00001244160,ENSE00001244165,ENSE00001244172,ENSE00001741875,ENSE00003519962,ENSE00003693086,ENSE00003574791,ENSE00001244239	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	143916177-143922395,143922504-143925884,143926784-143926882,143926977-143927081,143927252-143927335,143927410-143927766,143927854-143927992,143929103-143929281,143929414-143929571,143929646-143929829,143929936-143930062,143930144-143930298,143930384-143930536,143931534-143931659,143931937-143932032,143932130-143932234,143932400-143932561,143932635-143932712,143932793-143933111,143933197-143933351,143933998-143934091,143934318-143934445,143934635-143934730,143934810-143934929,143935011-143935117,143935198-143935313,143935848-143936014,143936979-143937071,143937165-143937242,143938151-143938240,143938631-143938692,143950184-143950706
8	143950410	143950688	-1	S10_plectin_N	123.4	143950410-143950688	PF03501	http://pfam.sanger.ac.uk/family?acc=PF03501
8	143916780	143916893	-1	Plectin_repeat	953.2	143916780-143916893	PF00681	http://pfam.sanger.ac.uk/family?acc=PF00681
8	143921289	143921411	-1	Plectin_repeat	953.2	143921289-143921411	PF00681	http://pfam.sanger.ac.uk/family?acc=PF00681
8	143917806	143917925	-1	Plectin_repeat	953.2	143917806-143917925	PF00681	http://pfam.sanger.ac.uk/family?acc=PF00681
8	143920647	143920763	-1	Plectin_repeat	953.2	143920647-143920763	PF00681	http://pfam.sanger.ac.uk/family?acc=PF00681
8	143921517	143921636	-1	Plectin_repeat	953.2	143921517-143921636	PF00681	http://pfam.sanger.ac.uk/family?acc=PF00681
8	143918649	143918768	-1	Plectin_repeat	953.2	143918649-143918768	PF00681	http://pfam.sanger.ac.uk/family?acc=PF00681
8	143920533	143920652	-1	Plectin_repeat	953.2	143920533-143920652	PF00681	http://pfam.sanger.ac.uk/family?acc=PF00681
8	143919540	143919659	-1	Plectin_repeat	953.2	143919540-143919659	PF00681	http://pfam.sanger.ac.uk/family?acc=PF00681
8	143917305	143917394	-1	Plectin_repeat	953.2	143917305-143917394	PF00681	http://pfam.sanger.ac.uk/family?acc=PF00681
8	143921631	143921750	-1	Plectin_repeat	953.2	143921631-143921750	PF00681	http://pfam.sanger.ac.uk/family?acc=PF00681
8	143917920	143918042	-1	Plectin_repeat	953.2	143917920-143918042	PF00681	http://pfam.sanger.ac.uk/family?acc=PF00681
8	143918535	143918654	-1	Plectin_repeat	953.2	143918535-143918654	PF00681	http://pfam.sanger.ac.uk/family?acc=PF00681
8	143920305	143920427	-1	Plectin_repeat	953.2	143920305-143920427	PF00681	http://pfam.sanger.ac.uk/family?acc=PF00681
8	143917581	143917700	-1	Plectin_repeat	953.2	143917581-143917700	PF00681	http://pfam.sanger.ac.uk/family?acc=PF00681
8	143916546	143916665	-1	Plectin_repeat	953.2	143916546-143916665	PF00681	http://pfam.sanger.ac.uk/family?acc=PF00681
8	143918307	143918429	-1	Plectin_repeat	953.2	143918307-143918429	PF00681	http://pfam.sanger.ac.uk/family?acc=PF00681
8	143919312	143919434	-1	Plectin_repeat	953.2	143919312-143919434	PF00681	http://pfam.sanger.ac.uk/family?acc=PF00681
8	143919654	143919773	-1	Plectin_repeat	953.2	143919654-143919773	PF00681	http://pfam.sanger.ac.uk/family?acc=PF00681
8	143935047	143935975	-1	CH-domain	158.8	143935047-143935117,143935198-143935313,143935848-143935975	PF00307	http://pfam.sanger.ac.uk/family?acc=PF00307
8	143936979	143938678	-1	CH-domain	158.8	143936979-143937071,143937165-143937242,143938151-143938240,143938631-143938678	PF00307	http://pfam.sanger.ac.uk/family?acc=PF00307
